,종목명,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,매출액,자산총계,부채총계,영업이익,매출액증가율,영업이익증가율,당기순이익,주당순이익,보통부배당금,ROA,PBR,유보율,pbr_rank,회사명,magic,magic_rank,final_rank
188,삼양옵틱스,500,970,10090,1.62,15967,8.06,35.97,636,495,102,157,5.18,11.21,636,495,102,157.0,5.18,11.21,292.0,삼양옵틱스,0.7348150075909555,121.0,413.0
189,평화산업,500,692,54902,2.0,240636,-8.18,-25.93,3533,1942,1607,-23,5.19,85.62,3533,1942,1607,-23.0,5.19,85.62,294.0,평화산업,0.4866667720696392,284.0,578.0
190,덕양산업,500,317,32565,2.08,97374,-2.06,-26.33,13594,5063,4451,-86,5.2,-337.48,13594,5063,4451,-86.0,5.2,-337.48,295.0,덕양산업,0.22920627998602974,783.0,1078.0
191,비에이치아이,500,604,26000,0.81,71656,-7.8,-19.22,2229,3702,3003,-125,5.21,46.41,2229,3702,3003,-125.0,5.21,46.41,297.0,비에이치아이,0.12180660336157118,1116.0,1413.0
192,예스24,500,918,17200,1.75,16242,-14.13,0.01,5330,2399,1755,63,5.25,441.56,5330,2399,1755,63.0,5.25,441.56,298.0,예스24,1.7747304543653244,11.0,309.0
193,엠젠플러스,500,739,18138,1.46,0,-4.86,-90.56,519,418,193,-31,5.26,32.31,519,418,193,-31.0,5.26,32.31,300.0,엠젠플러스,0.21786460648565062,833.0,1133.0
194,유성기업,500,662,25948,17.8,13234,4.86,6.47,2596,3964,905,122,5.26,584.14,2596,3964,905,122.0,5.26,584.14,300.0,유성기업,0.07370656731754913,1236.0,1536.0
195,대유플러스,500,779,110474,2.27,445072,3.0,16.75,5300,10900,9217,396,5.29,8.91,5300,10900,9217,396.0,5.29,8.91,302.0,대유플러스,0.5011548843336369,268.0,570.0
196,오리온홀딩스,500,8394,62645,11.79,126021,14.41,2.55,21036,43663,10287,2667,5.3,15.68,21036,43663,10287,2667.0,5.3,15.68,303.0,오리온홀딩스,0.2781105890104072,638.0,941.0
197,씨티케이코스메틱스,500,1351,10122,0.0,3661,34.06,4.54,1163,2025,275,40,5.31,-24.4,1163,2025,275,40.0,5.31,-24.4,304.0,씨티케이코스메틱스,0.1786796245192081,955.0,1259.0
198,노루페인트,500,1462,20000,5.45,72869,7.27,6.0,6475,6273,3050,292,5.32,28.66,6475,6273,3050,292.0,5.32,28.66,305.0,노루페인트,0.45616395598822884,309.0,614.0
199,팜스토리,500,1281,111417,1.57,8748398,-23.47,-3.3,9708,6413,4724,148,5.34,-23.14,9708,6413,4724,148.0,5.34,-23.14,307.0,팜스토리,0.6145324582041639,169.0,476.0
200,그린플러스,500,648,4834,2.03,95894,22.87,8.37,488,723,349,51,5.34,-0.58,488,723,349,51.0,5.34,-0.58,307.0,그린플러스,0.25278493098814314,719.0,1026.0
201,희림,500,522,13922,0.78,5713,15.5,7.01,1786,1616,1068,72,5.36,6.39,1786,1616,1068,72.0,5.36,6.39,308.0,희림,0.45213805204413443,315.0,623.0
202,동아지질,500,1656,11500,4.28,81784,11.37,10.33,3809,3223,1284,229,5.59,-12.09,3809,3223,1284,229.0,5.59,-12.09,318.0,동아지질,0.17313396263944833,967.0,1285.0
203,만도,1000,10988,46957,22.39,320327,10.77,7.55,59819,45956,30100,2186,5.6,10.72,59819,45956,30100,2186.0,5.6,10.72,320.0,만도,0.5260547737245399,243.0,563.0
204,보성파워텍,500,834,46073,1.86,983709,25.86,1.06,1117,1256,457,-11,5.62,19.85,1117,1256,457,-11.0,5.62,19.85,322.0,보성파워텍,0.09694312330733497,1176.0,1498.0
205,코스맥스,500,8954,10050,17.92,65770,32.41,10.45,13307,12044,8879,540,5.63,3.17,13307,12044,8879,540.0,5.63,3.17,325.0,코스맥스,0.5797340331481139,187.0,512.0
206,글로벌에스엠,0,314,53744,3.69,402656,29.25,2.07,1093,1314,384,59,5.63,1953.52,1093,1314,384,59.0,5.63,1953.52,325.0,글로벌에스엠,0.3010070337968217,581.0,906.0
207,한국콜마홀딩스,500,3624,17939,18.74,43328,8.83,10.51,5934,10951,4913,1012,5.65,6.69,5934,10951,4913,1012.0,5.65,6.69,326.0,한국콜마홀딩스,0.22858466878141828,784.0,1110.0
208,SK바이오랜드,500,5272,15000,5.05,1834305,71.59,7.12,1063,2091,533,145,5.69,-15.22,1063,2091,533,145.0,5.69,-15.22,327.0,SK바이오랜드,0.25222937567823317,721.0,1048.0
209,강원랜드,500,47816,213940,26.13,516118,62.78,9.16,15201,44381,7204,5012,5.7,16.36,15201,44381,7204,5012.0,5.7,16.36,328.0,강원랜드,0.21072408922492375,858.0,1186.0
210,한진,5000,5568,11975,11.74,107053,210.41,-0.34,20623,35484,24945,907,5.72,115.44,20623,35484,24945,907.0,5.72,115.44,330.0,한진,0.16052712315285037,1006.0,1336.0
211,아모레퍼시픽,500,91780,58458,29.63,292324,57.95,5.36,55801,59890,14902,4278,5.73,-11.23,55801,59890,14902,4278.0,5.73,-11.23,331.0,아모레퍼시픽,0.9068172875246432,68.0,399.0
212,우진플라임,500,322,10000,2.19,7279,-4.72,-22.8,1818,2678,2152,-83,5.76,29.26,1818,2678,2152,-83.0,5.76,29.26,333.0,우진플라임,0.7343633710321826,122.0,455.0
213,STX엔진,2500,1479,23009,0.0,15332,12.56,8.89,6106,8284,5909,300,5.76,-4.13,6106,8284,5909,300.0,5.76,-4.13,333.0,STX엔진,0.28013391447160635,632.0,965.0
214,국보디자인,500,1091,7500,11.37,7354,5.6,13.75,2690,2225,992,116,5.8,-29.8,2690,2225,992,116.0,5.8,-29.8,335.0,국보디자인,0.26135934358440654,684.0,1019.0
215,동진쎄미켐,500,12262,51414,8.54,2869556,18.76,17.78,8753,8407,4803,1049,5.81,47.73,8753,8407,4803,1049.0,5.81,47.73,337.0,동진쎄미켐,0.5172758562877883,251.0,588.0
216,TCC스틸,1000,460,23000,1.09,49923,-1000.0,4.42,4372,3142,1974,129,5.81,-24.73,4372,3142,1974,129.0,5.81,-24.73,337.0,TCC스틸,0.27006657179193927,658.0,995.0
217,아이엠,500,315,42223,4.39,281446,-1.76,-50.93,2022,1174,847,-74,5.82,-109.6,2022,1174,847,-74.0,5.82,-109.6,338.0,아이엠,0.1686821347936957,981.0,1319.0
218,세운메디칼,100,1432,43800,1.79,241272,14.86,10.44,669,1045,83,169,5.94,-5.84,669,1045,83,169.0,5.94,-5.84,343.0,세운메디칼,0.2851785456317369,619.0,962.0
219,서연,500,1305,23480,1.75,17484783,-2.13,-13.31,22026,22154,14104,332,5.98,431.98,22026,22154,14104,332.0,5.98,431.98,344.0,서연,0.30458393634469993,573.0,917.0
220,디알젬,500,1971,11326,0.41,465306,23.67,17.88,601,630,305,46,6.11,8.74,601,630,305,46.0,6.11,8.74,349.0,디알젬,0.5350956442109834,228.0,577.0
221,한솔로지스틱스,500,467,27477,6.46,8284074,7.23,11.44,4607,1668,1197,95,6.12,143.89,4607,1668,1197,95.0,6.12,143.89,350.0,한솔로지스틱스,0.8028330309520578,96.0,446.0
222,에이치엘비,500,48591,47545,12.08,416150,-98.36,-24.69,384,3626,1734,-487,6.18,-66.23,384,3626,1734,-487.0,6.18,-66.23,351.0,에이치엘비,0.02080202853888802,1327.0,1678.0
223,S&T모티브,5000,5703,14623,24.67,61395,6.7,0.33,9763,10389,3029,892,6.24,53.36,9763,10389,3029,892.0,6.24,53.36,355.0,S&T모티브,0.2082491190038011,864.0,1219.0
224,에프알텍,500,489,11400,3.26,63834,-78.0,-5.28,262,601,288,-12,6.27,60.63,262,601,288,-12.0,6.27,60.63,358.0,에프알텍,0.20206001820991437,885.0,1243.0
225,엑셈,100,1091,33882,2.0,250178,14.5,7.47,345,860,142,63,6.48,40.51,345,860,142,63.0,6.48,40.51,366.0,엑셈,0.27925651351879177,635.0,1001.0
226,신신제약,500,1130,15170,1.31,209796,54.38,3.86,679,1292,729,23,6.49,-23.29,679,1292,729,23.0,6.49,-23.29,368.0,신신제약,0.41827530717518085,360.0,728.0
227,지엔코,500,1181,98008,4.18,334898,-5.26,-22.72,1559,2482,1007,-76,6.49,69.96,1559,2482,1007,-76.0,6.49,69.96,368.0,지엔코,0.5325817919005753,230.0,598.0
228,게임빌,500,1715,6595,6.26,7201,12.48,5.54,1199,3993,1445,-171,6.54,2.92,1199,3993,1445,-171.0,6.54,2.92,373.0,게임빌,0.2634107218855834,676.0,1049.0
229,코센,500,347,118381,0.53,4549470,-0.37,-447.99,583,842,810,-37,6.58,-961.18,583,842,810,-37.0,6.58,-961.18,375.0,코센,1.6946305128916501,13.0,388.0
230,선도전기,500,425,18000,2.16,83021,-8.25,-2.52,893,1670,805,-17,6.66,-247.97,893,1670,805,-17.0,6.66,-247.97,379.0,선도전기,0.07577153873299232,1230.0,1609.0
231,원풍,500,482,12000,1.56,20452,14.83,2.69,729,831,96,27,6.67,152.93,729,831,96,27.0,6.67,152.93,380.0,원풍,0.11282673924146217,1146.0,1526.0
232,KBI메탈,500,405,32951,3.56,59290,6.06,7.58,4948,2194,1261,103,6.69,95.2,4948,2194,1261,103.0,6.69,95.2,381.0,KBI메탈,0.20185959445689824,886.0,1267.0
233,메가엠디,500,795,23097,0.44,365845,81.9,0.72,804,1083,510,-8,6.7,-144.67,804,1083,510,-8.0,6.7,-144.67,382.0,메가엠디,0.8477794331433005,82.0,464.0
234,잉크테크,500,484,16020,0.68,25192,-15.81,-7.52,591,1081,722,-13,6.74,-40.51,591,1081,722,-13.0,6.74,-40.51,386.0,잉크테크,0.48306360872400783,286.0,672.0
235,블러썸엠앤씨,500,625,13723,0.17,0,-6.16,-12.02,250,884,259,8,6.74,1244.1,250,884,259,8.0,6.74,1244.1,386.0,블러썸엠앤씨,0.10497245183587776,1158.0,1544.0
236,우리들제약,500,927,13706,4.54,145959,-58.78,0.54,951,1000,438,12,6.77,-76.19,951,1000,438,12.0,6.77,-76.19,387.0,우리들제약,0.8960576537582946,70.0,457.0
237,SDN,500,1356,48179,1.0,2150349,28.15,5.59,650,1355,594,30,6.79,1.98,650,1355,594,30.0,6.79,1.98,389.0,SDN,0.2280921625920395,789.0,1178.0
238,광림,500,894,52922,0.56,171472,-70.42,-7.84,1459,2525,1617,-110,6.79,-951.53,1459,2525,1617,-110.0,6.79,-951.53,389.0,광림,0.12007628913376123,1122.0,1511.0
239,서연이화,500,964,27028,8.85,1692738,-1.6,-7.35,19768,18205,11989,219,6.81,81.91,19768,18205,11989,219.0,6.81,81.91,390.0,서연이화,0.3359165572813557,502.0,892.0
240,코스맥스비티아이,500,1604,9604,6.33,32030,-94.89,0.14,4684,8788,5367,-73,6.86,-130.38,4684,8788,5367,-73.0,6.86,-130.38,394.0,코스맥스비티아이,0.18103162210088028,950.0,1344.0
241,바다로19호,5000,400,15200,0.0,7199,4.56,12.05,64,461,15,23,6.9,5.41,64,461,15,23.0,6.9,5.41,395.0,바다로19호,0.14442315675381823,1053.0,1448.0
242,경농,500,2419,21692,0.32,149582,38.58,2.47,2275,3709,1690,87,6.99,-41.16,2275,3709,1690,87.0,6.99,-41.16,402.0,경농,0.3685897742131278,437.0,839.0
243,디알텍,100,784,51782,2.33,789791,47.34,2.75,478,710,336,14,7.0,-11.05,478,710,336,14.0,7.0,-11.05,404.0,디알텍,0.5869484878193253,182.0,586.0
244,엑세스바이오,0,1195,33578,6.74,316659,-6.39,-56.79,431,697,418,-80,7.01,-83.45,431,697,418,-80.0,7.01,-83.45,405.0,엑세스바이오,0.33489738599214747,507.0,912.0
245,조아제약,500,1530,30980,2.67,989119,-66.76,-1.69,675,867,350,-4,7.05,-127.65,675,867,350,-4.0,7.05,-127.65,406.0,조아제약,0.5742827125565806,192.0,598.0
246,쿠쿠홀딩스,500,5626,7112,4.73,4576,7.19,12.38,5283,8126,1389,745,7.1,9.76,5283,8126,1389,745.0,7.1,9.76,411.0,쿠쿠홀딩스,0.32496472808943316,521.0,932.0
247,씨유메디칼,500,680,22478,0.0,1369301,-12.5,-5.95,818,1293,737,25,7.2,-32.41,818,1293,737,25.0,7.2,-32.41,415.0,씨유메디칼,0.32104233821487416,527.0,942.0
248,포스코케미칼,500,48120,60988,7.05,1420118,58.4,11.57,14838,17301,7238,899,7.24,-15.47,14838,17301,7238,899.0,7.24,-15.47,417.0,포스코케미칼,0.16548691597457196,991.0,1408.0
249,삼진엘앤디,500,651,24959,1.18,976702,104.4,0.63,2308,1704,778,38,7.24,-49.13,2308,1704,778,38.0,7.24,-49.13,417.0,삼진엘앤디,0.3145974120038861,541.0,958.0
250,오픈베이스,500,1006,31422,2.16,755497,44.44,2.46,1574,1345,613,26,7.29,284.48,1574,1345,613,26.0,7.29,284.48,418.0,오픈베이스,0.4618079436508207,304.0,722.0
251,동원금속,500,327,46755,2.28,128624,-139.8,-43.38,4586,4880,4485,-135,7.33,-118.58,4586,4880,4485,-135.0,7.33,-118.58,419.0,동원금속,1.1036585457123866,40.0,459.0
252,인텔리안테크,500,2087,7561,1.42,513243,59.87,10.05,1180,1440,590,82,7.44,-20.22,1180,1440,590,82.0,7.44,-20.22,422.0,인텔리안테크,0.6564155800023329,150.0,572.0
253,정상제이엘에스,500,941,15678,1.5,29809,20.76,12.2,936,1108,468,134,7.44,23.03,936,1108,468,134.0,7.44,23.03,422.0,정상제이엘에스,0.40932142431605,371.0,793.0
254,에스엠,500,5429,23450,15.46,265078,-63.42,-2.1,6578,11156,4829,404,7.45,-15.39,6578,11156,4829,404.0,7.45,-15.39,423.0,에스엠,0.34075429960668835,495.0,918.0
255,모베이스전자,500,783,52000,1.4,18517408,-3.69,-8.51,7717,6739,5125,109,7.48,550.87,7717,6739,5125,109.0,7.48,550.87,424.0,모베이스전자,0.4008302956819848,387.0,811.0
256,유니드,5000,3734,8890,7.4,15887,5.47,9.87,8752,10763,3675,848,7.51,5.88,8752,10763,3675,848.0,7.51,5.88,426.0,유니드,0.2691064192222168,662.0,1088.0
257,동일기연,500,359,3407,0.52,97591,26.57,5.3,290,584,61,9,7.51,167.42,290,584,61,9.0,7.51,167.42,426.0,동일기연,0.2103323636041912,860.0,1286.0
258,로체시스템즈,500,748,15297,42.39,78429,125.38,1.84,798,1200,547,43,7.81,509.85,798,1200,547,43.0,7.81,509.85,429.0,로체시스템즈,0.22418861271440724,804.0,1233.0
259,케이엠,500,1830,10282,1.9,657862,15.16,8.15,1276,1322,478,72,7.82,39.06,1276,1322,478,72.0,7.82,39.06,431.0,케이엠,0.2844529869748332,621.0,1052.0
260,티에이치엔,500,460,18000,3.12,123379,-14.85,33.47,4022,2654,2024,215,7.89,91.74,4022,2654,2024,215.0,7.89,91.74,434.0,티에이치엔,0.9476986386382719,58.0,492.0
261,S&T홀딩스,500,2649,16304,10.35,5588,3.48,8.78,15121,22367,6107,1263,7.91,73.82,15121,22367,6107,1263.0,7.91,73.82,437.0,S&T홀딩스,0.1401922218408957,1066.0,1503.0
262,하이트진로,5000,31245,70134,9.77,570535,645.65,-3.86,20351,32709,22377,882,7.93,-2.43,20351,32709,22377,882.0,7.93,-2.43,440.0,하이트진로,0.8438309561720528,83.0,523.0
263,에이치엘비파워,500,1276,91115,0.53,790714,63.64,3.56,427,634,288,34,7.93,127.13,427,634,288,34.0,7.93,127.13,440.0,에이치엘비파워,0.307414281161901,562.0,1002.0
264,연우,500,2058,12398,11.83,53605,12.2,8.38,2946,2959,863,225,7.94,264.59,2946,2959,863,225.0,7.94,264.59,441.0,연우,0.22356396961129135,809.0,1250.0
