,종목명,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,매출액,자산총계,부채총계,영업이익,매출액증가율,영업이익증가율,당기순이익,주당순이익,보통부배당금,ROA,PBR,유보율,pbr_rank,회사명,magic,magic_rank,final_rank
285,LF,5000,3845,29240,24.2,52917,7.63,5.65,18517,24171,10256,875,8.5,-26.76,18517,24171,10256,875.0,8.5,-26.76,476.0,LF,0.7515748190575293,116.0,592.0
286,삼성출판사,500,2165,10000,0.93,92127,135.31,5.49,2020,2415,1200,48,8.59,44.92,2020,2415,1200,48.0,8.59,44.92,478.0,삼성출판사,0.8785188226656834,75.0,553.0
287,신원,500,1250,85042,1.52,1871792,147.0,0.74,6749,4034,2019,90,8.59,512.63,6749,4034,2019,90.0,8.59,512.63,478.0,신원,0.8736212926544727,76.0,554.0
288,NHN한국사이버결제,500,11853,22971,26.02,545573,43.4,20.2,4699,3119,1846,321,8.61,47.41,4699,3119,1846,321.0,8.61,47.41,479.0,NHN한국사이버결제,0.5319225062806043,234.0,713.0
289,이원컴포텍,500,1123,17048,16.89,441375,50.31,16.8,479,379,182,14,8.63,125.5,479,379,182,14.0,8.63,125.5,481.0,이원컴포텍,0.1862082620732796,928.0,1409.0
290,서연탑메탈,500,288,11650,2.5,223439,-60.24,-4.46,1597,1563,893,4,8.66,129.59,1597,1563,893,4.0,8.66,129.59,483.0,서연탑메탈,0.07466726101850767,1233.0,1716.0
291,뉴인텍,500,509,30045,0.66,299248,-65.19,-5.33,544,498,228,3,8.67,109.14,544,498,228,3.0,8.67,109.14,484.0,뉴인텍,0.227340920781864,793.0,1277.0
292,성호전자,500,206,35598,1.18,15862,-3.79,-12.14,993,957,545,-31,8.68,-2167.9,993,957,545,-31.0,8.68,-2167.9,485.0,성호전자,0.2631424456212065,678.0,1163.0
293,삼기오토모티브,100,905,34537,1.94,4602624,31.57,1.49,3018,4250,2889,58,8.83,5.21,3018,4250,2889,58.0,8.83,5.21,491.0,삼기오토모티브,0.24607140232611785,735.0,1226.0
294,BGF,1000,4020,95717,8.15,149599,19.09,1.79,2403,16574,1291,294,8.94,-0.3,2403,16574,1291,294.0,8.94,-0.3,493.0,BGF,0.08534982702033714,1208.0,1701.0
295,한국가구,100,700,15000,0.49,365917,10.98,5.97,657,1385,347,87,8.98,2.05,657,1385,347,87.0,8.98,2.05,494.0,한국가구,0.21316523776428237,848.0,1342.0
296,녹십자엠에스,500,2281,21117,0.2,3245260,-10.81,-49.93,941,889,381,-44,8.99,24.93,941,889,381,-44.0,8.99,24.93,495.0,녹십자엠에스,0.18653284952493654,927.0,1422.0
297,제주반도체,500,881,31125,8.52,151166,113.2,-6.63,1621,2242,1344,61,9.0,-51.96,1621,2242,1344,61.0,9.0,-51.96,496.0,제주반도체,0.3110327806102858,550.0,1046.0
298,서린바이오,500,904,8001,1.94,288079,9.51,15.67,544,807,194,18,9.09,2.83,544,807,194,18.0,9.09,2.83,500.0,서린바이오,0.22631550254153637,796.0,1296.0
299,나이스정보통신,500,2630,10000,24.2,24339,9.47,13.88,4529,6419,4109,350,9.14,-0.66,4529,6419,4109,350.0,9.14,-0.66,502.0,나이스정보통신,0.49962990835569554,269.0,771.0
300,서희건설,500,2226,207081,9.67,621887,3.01,18.62,12430,9761,5817,1182,9.15,42.33,12430,9761,5817,1182.0,9.15,42.33,503.0,서희건설,0.4524663518998222,314.0,817.0
301,포시에스,500,616,7880,1.2,83303,15.42,3.79,197,528,26,50,9.19,22.78,197,528,26,50.0,9.19,22.78,504.0,포시에스,0.2803948493414996,631.0,1135.0
302,디케이앤디,500,363,7763,4.06,14395,13.0,5.68,598,621,106,30,9.23,-19.84,598,621,106,30.0,9.23,-19.84,506.0,디케이앤디,0.21263313181243262,850.0,1356.0
303,유유제약,1000,908,6369,2.5,430086,19.41,5.41,909,1377,472,81,9.36,51.57,909,1377,472,81.0,9.36,51.57,507.0,유유제약,0.5147770379137542,255.0,762.0
304,삼천리자전거,500,1679,13274,4.06,756267,-36.35,-9.21,871,1467,672,-82,9.41,51.47,871,1467,672,-82.0,9.41,51.47,508.0,삼천리자전거,0.28957829264166923,605.0,1113.0
305,세종메디칼,500,510,6778,1.26,20868,16.07,7.76,162,495,37,38,9.42,17.81,162,495,37,38.0,9.42,17.81,510.0,세종메디칼,0.22361820588235273,808.0,1318.0
306,차바이오텍,500,11155,52495,7.2,679395,22.7,13.17,5346,11629,4966,58,9.42,-69.3,5346,11629,4966,58.0,9.42,-69.3,510.0,차바이오텍,0.2703256013301313,656.0,1166.0
307,와이지-원,500,1449,30574,13.62,127296,-20.7,0.42,4280,8470,5161,132,9.47,-71.19,4280,8470,5161,132.0,9.47,-71.19,511.0,와이지-원,0.3576804306222785,458.0,969.0
308,일진머티리얼즈,500,22687,46111,9.03,936789,42.93,8.52,5502,10369,2127,469,9.6,-3.84,5502,10369,2127,469.0,9.6,-3.84,516.0,일진머티리얼즈,0.09390677872535066,1186.0,1702.0
309,한미약품,2500,30437,11843,15.08,47112,64.88,7.3,11136,19137,10914,1039,9.62,24.3,11136,19137,10914,1039.0,9.62,24.3,517.0,한미약품,0.7691984851590101,109.0,626.0
310,세경하이테크,500,3190,11642,1.23,185343,36.2,18.64,2813,2064,676,234,9.65,-39.43,2813,2064,676,234.0,9.65,-39.43,518.0,세경하이테크,0.38778164655377106,403.0,921.0
311,JW생명과학,2500,3412,15835,4.34,254731,14.83,18.92,1702,2014,788,297,9.66,26.37,1702,2014,788,297.0,9.66,26.37,520.0,JW생명과학,0.39639983057360134,393.0,913.0
312,이니텍,500,900,19791,2.34,38643,-9.4,-7.31,2880,2600,591,58,9.74,-34.23,2880,2600,591,58.0,9.74,-34.23,524.0,이니텍,0.1278746228916365,1102.0,1626.0
313,CJ CGV,500,4581,21161,5.7,115297,-2.1,-57.6,19423,45240,39229,1220,9.77,56.97,19423,45240,39229,1220.0,9.77,56.97,527.0,CJ CGV,1.3059213788617163,28.0,555.0
314,우진비앤지,500,633,26171,3.43,983066,-6.4,-47.55,336,851,464,-16,9.79,67.63,336,851,464,-16.0,9.79,67.63,530.0,우진비앤지,0.16768822375551132,984.0,1514.0
315,에스씨디,500,580,48330,53.7,317960,-26.67,-0.98,1749,1392,385,35,9.84,-29.56,1749,1392,385,35.0,9.84,-29.56,532.0,에스씨디,0.1675905313632225,986.0,1518.0
316,이크레더블,500,2409,12044,16.22,6299,16.61,26.81,409,626,89,167,9.88,9.18,409,626,89,167.0,9.88,9.18,535.0,이크레더블,0.7618716647122231,112.0,647.0
317,정산애강,500,917,51795,2.16,155344,8.89,14.9,714,943,113,102,9.89,1.75,714,943,113,102.0,9.89,1.75,538.0,정산애강,0.20941635423033234,862.0,1400.0
318,한세예스24홀딩스,500,1874,40000,2.0,16979,133.86,7.58,27710,17314,11355,977,9.89,72.94,27710,17314,11355,977.0,9.89,72.94,538.0,한세예스24홀딩스,1.1417670937223616,36.0,574.0
319,제주항공,5000,4784,26357,3.01,146995,-2.71,-9.36,13840,14675,11424,-329,9.89,-132.5,13840,14675,11424,-329.0,9.89,-132.5,538.0,제주항공,0.42019061931254653,355.0,893.0
320,바디텍메드,1000,4379,23478,5.38,601758,38.61,16.78,728,1013,242,150,9.96,131.2,728,1013,242,150.0,9.96,131.2,539.0,바디텍메드,0.5317961435288724,236.0,775.0
321,파워넷,1000,603,13551,2.87,281095,10.16,10.78,1286,1063,532,52,10.0,85.91,1286,1063,532,52.0,10.0,85.91,540.0,파워넷,0.35612782421707945,467.0,1007.0
322,나라엠앤디,500,909,14200,4.61,1401822,33.68,1.37,1560,2172,1365,21,10.04,-55.24,1560,2172,1365,21.0,10.04,-55.24,542.0,나라엠앤디,0.1907377292140513,916.0,1458.0
323,TJ미디어,500,371,13932,0.23,23188,10.88,1.15,754,1059,277,5,10.06,125.51,754,1059,277,5.0,10.06,125.51,543.0,TJ미디어,0.2422999347527925,743.0,1286.0
324,덕신하우징,100,587,43825,1.8,424707,53.6,2.05,1490,1175,449,26,10.08,-75.39,1490,1175,449,26.0,10.08,-75.39,544.0,덕신하우징,0.25357497864145245,716.0,1260.0
325,CS홀딩스,5000,760,1154,2.38,96896,6.41,4.35,1350,3143,281,170,10.14,27.82,1350,3143,281,170.0,10.14,27.82,545.0,CS홀딩스,0.1156513222848587,1139.0,1684.0
326,케이엔제이,500,461,6305,0.61,40940,8.56,26.22,563,586,318,38,10.18,319.18,563,586,318,38.0,10.18,319.18,546.0,케이엔제이,0.41375163346924043,365.0,911.0
327,한국기업평가,5000,3333,4541,77.46,4077,15.67,20.96,927,1603,359,316,10.21,24.71,927,1603,359,316.0,10.21,24.71,548.0,한국기업평가,0.7454198729194316,119.0,667.0
328,성창기업지주,500,1025,69752,2.96,60839,-12.35,-2.14,1510,7033,1779,-30,10.21,57.14,1510,7033,1779,-30.0,10.21,57.14,548.0,성창기업지주,0.03774846618779296,1305.0,1853.0
329,삼성SDI,5000,261649,68765,42.25,428435,90.23,2.94,100974,198521,71918,4622,10.26,-35.36,100974,198521,71918,4622.0,10.26,-35.36,549.0,삼성SDI,0.17496921919451694,965.0,1514.0
330,엑사이엔씨,500,430,33174,3.88,692784,35.0,-0.7,2471,1431,818,30,10.29,-33.81,2471,1431,818,30.0,10.29,-33.81,551.0,엑사이엔씨,0.38119641938763255,412.0,963.0
331,현대오토에버,500,8274,21000,1.21,30270,14.86,11.71,15718,10267,5117,802,10.31,14.3,15718,10267,5117,802.0,10.31,14.3,552.0,현대오토에버,0.3177709644545963,533.0,1085.0
332,엠아이텍,500,1150,30424,1.01,235288,26.25,7.88,327,573,91,34,10.32,-33.37,327,573,91,34.0,10.32,-33.37,553.0,엠아이텍,0.3047548492837826,572.0,1125.0
333,GV,500,381,45409,1.06,2376418,-0.99,-91.08,587,1028,718,-161,10.33,4.51,587,1028,718,-161.0,10.33,4.51,554.0,GV,0.28478331408906143,620.0,1174.0
334,이그잭스,500,1487,74894,0.86,892066,-38.17,-2.29,369,876,326,25,10.5,109.9,369,876,326,25.0,10.5,109.9,557.0,이그잭스,0.1762713865996977,961.0,1518.0
335,세코닉스,500,596,11803,6.45,111179,-2.02,-14.76,4622,3575,2482,11,10.54,-87.12,4622,3575,2482,11.0,10.54,-87.12,558.0,세코닉스,0.4398520416906559,334.0,892.0
336,삼익악기,500,1322,90531,3.02,310905,13.9,6.27,2654,6129,3887,277,10.56,16.97,2654,6129,3887,277.0,10.56,16.97,559.0,삼익악기,0.35642780828353493,465.0,1024.0
337,미래테크놀로지,500,486,6121,0.32,10079,63.02,5.74,359,1088,342,37,10.64,-13.19,359,1088,342,37.0,10.64,-13.19,560.0,미래테크놀로지,0.23536049096968126,764.0,1324.0
338,티웨이항공,500,1632,46975,0.03,201650,-1.66,-20.85,8104,8078,6189,-192,10.75,-140.25,8104,8078,6189,-192.0,10.75,-140.25,562.0,티웨이항공,0.29163339378562064,598.0,1160.0
339,티웨이홀딩스,500,878,76681,1.34,197576,-1.43,-17.06,8175,8710,6252,-238,10.85,-154.95,8175,8710,6252,-238.0,10.85,-154.95,563.0,티웨이홀딩스,0.21577741384984966,840.0,1403.0
340,대원제약,500,3583,20244,20.83,816587,12.39,14.05,3178,3275,1233,351,10.88,14.19,3178,3275,1233,351.0,10.88,14.19,564.0,대원제약,0.882179228259623,72.0,636.0
341,KNN,500,2046,132430,0.0,39430288,30.9,4.17,711,2102,138,74,10.93,-4.61,711,2102,138,74.0,10.93,-4.61,566.0,KNN,0.14188100268692677,1063.0,1629.0
342,유비케어,500,5350,52197,1.81,5205380,71.18,6.66,1109,1367,309,124,10.97,29.23,1109,1367,309,124.0,10.97,29.23,567.0,유비케어,0.5279443973300748,241.0,808.0
343,세방,500,2095,19309,5.06,29500,45.21,0.68,7233,11076,2891,161,10.99,41.35,7233,11076,2891,161.0,10.99,41.35,569.0,세방,0.08640517588767437,1202.0,1771.0
344,바이오로그디바이스,100,453,28870,1.65,62285,9.24,11.98,904,889,328,70,10.99,-11.77,904,889,328,70.0,10.99,-11.77,569.0,바이오로그디바이스,0.35099384731503086,477.0,1046.0
345,이미지스,500,252,7669,1.83,16641,-3.08,-51.59,190,147,29,-64,11.04,12.93,190,147,29,-64.0,11.04,12.93,572.0,이미지스,0.16692846171523817,989.0,1561.0
346,아진산업,500,895,36607,3.71,424450,5.63,7.47,4408,6547,4534,278,11.05,213.19,4408,6547,4534,278.0,11.05,213.19,573.0,아진산업,0.35802963525342324,454.0,1027.0
347,휴온스,500,5138,9881,13.95,94873,13.43,21.36,3650,3003,1021,484,11.09,6.95,3650,3003,1021,484.0,11.09,6.95,574.0,휴온스,1.0089456988085121,46.0,620.0
348,MH에탄올,500,541,7379,1.62,67567,-26.65,-0.88,809,4515,3721,78,11.1,537.44,809,4515,3721,78.0,11.1,537.44,575.0,MH에탄올,0.3358164845998785,503.0,1078.0
349,세종공업,500,1042,22610,2.71,122011,200.43,1.52,12217,9960,6148,132,11.11,6224.31,12217,9960,6148,132.0,11.11,6224.31,576.0,세종공업,0.35555143705285097,469.0,1045.0
350,홈센타홀딩스,500,945,85113,2.5,162217,-58.42,-2.44,2656,3290,1867,26,11.14,152.03,2656,3290,1867,26.0,11.14,152.03,580.0,홈센타홀딩스,0.18164101911121566,947.0,1527.0
351,서진오토모티브,500,331,19541,0.37,8715,-2.18,-16.33,14298,8712,7091,53,11.14,142.27,14298,8712,7091,53.0,11.14,142.27,580.0,서진오토모티브,0.4027970620707509,384.0,964.0
352,선진,500,2278,23780,12.27,114024,8.34,6.72,10140,9833,6520,401,11.14,15.26,10140,9833,6520,401.0,11.14,15.26,580.0,선진,0.5205521518423015,249.0,829.0
353,현대코퍼레이션홀딩스,5000,874,9101,3.36,18309,7.64,5.93,1839,2414,619,93,11.19,17.58,1839,2414,619,93.0,11.19,17.58,582.0,현대코퍼레이션홀딩스,0.15238112076032445,1029.0,1611.0
354,신흥에스이씨,2500,2644,6744,1.35,66450,15.25,17.29,2395,3354,2339,202,11.19,42.85,2395,3354,2339,202.0,11.19,42.85,582.0,신흥에스이씨,0.3880035927041187,402.0,984.0
355,에스티아이,500,2572,15830,5.92,279483,12.29,14.59,3189,2657,978,271,11.25,22.89,3189,2657,978,271.0,11.25,22.89,585.0,에스티아이,0.36579641025434523,442.0,1027.0
356,크리스탈신소재,0,959,67784,23.73,690591,4.2,9.01,846,2988,337,285,11.25,-9.44,846,2988,337,285.0,11.25,-9.44,585.0,크리스탈신소재,0.14398677299242107,1056.0,1641.0
357,에이치엘비생명과학,500,9649,47070,5.12,550296,-36.61,-2.75,1140,4049,705,-45,11.26,43.75,1140,4049,705,-45.0,11.26,43.75,586.0,에이치엘비생명과학,0.022745946233412133,1325.0,1911.0
358,월덱스,500,1478,16511,4.82,298431,6.86,24.22,1174,1497,602,234,11.28,6.58,1174,1497,602,234.0,11.28,6.58,587.0,월덱스,0.4255716135325556,348.0,935.0
359,보라티알,500,562,6751,1.82,29085,47.54,6.26,468,866,314,32,11.37,-36.65,468,866,314,32.0,11.37,-36.65,588.0,보라티알,0.27272539588867944,649.0,1237.0
360,해마로푸드서비스,100,2551,96802,8.93,842123,11.87,18.15,2889,1399,589,190,11.49,-8.93,2889,1399,589,190.0,11.49,-8.93,591.0,해마로푸드서비스,1.0205679722353882,43.0,634.0
361,코웨이,500,53062,73800,60.19,225662,15.88,30.74,30189,28550,17778,4583,11.51,-11.84,30189,28550,17778,4583.0,11.51,-11.84,592.0,코웨이,1.8645647603298403,10.0,602.0
362,삼아알미늄,500,435,11000,33.93,31167,8.71,4.62,1911,2085,996,64,11.56,16.48,1911,2085,996,64.0,11.56,16.48,593.0,삼아알미늄,0.16958458058204381,978.0,1571.0
363,휴비츠,500,835,11883,6.9,75137,10.03,9.16,880,1519,575,117,11.57,40.76,880,1519,575,117.0,11.57,40.76,595.0,휴비츠,0.38478768879066166,409.0,1004.0
364,한일사료,500,694,39404,1.33,682313,-20.23,-3.85,3435,1766,1146,44,11.58,115.79,3435,1766,1146,44.0,11.58,115.79,596.0,한일사료,0.5980155955372626,177.0,773.0
365,셀바스헬스케어,500,517,21681,0.65,100290,-48.67,-17.18,224,471,230,-34,11.61,74.4,224,471,230,-34.0,11.61,74.4,598.0,셀바스헬스케어,0.35067818130320016,478.0,1076.0
366,한국항공우주,5000,24369,97475,15.63,603342,11.76,15.84,31102,43671,31840,2756,11.63,88.25,31102,43671,31840,2756.0,11.63,88.25,599.0,한국항공우주,0.4056963827937234,376.0,975.0
367,제이씨케미칼,500,1096,22268,0.72,166608,20.85,13.79,2024,2370,1462,130,11.65,43.71,2024,2370,1462,130.0,11.65,43.71,601.0,제이씨케미칼,0.2979091601987489,586.0,1187.0
368,파인디지털,500,516,10211,1.01,36142,33.01,-0.14,961,1066,172,-2,11.65,-115.18,961,1066,172,-2.0,11.65,-115.18,601.0,파인디지털,0.3408259494488574,494.0,1095.0
369,JW신약,500,2138,41667,1.67,555688,-60.35,2.9,1025,1369,709,11,11.72,98.45,1025,1369,709,11.0,11.72,98.45,602.0,JW신약,0.7211978841376431,127.0,729.0
370,상상인,1000,3973,55328,6.55,902971,4.42,26.51,5413,36272,30085,1824,11.76,3.74,5413,36272,30085,1824.0,11.76,3.74,603.0,상상인,0.4009974269179691,386.0,989.0
371,락앤락,500,6069,54187,71.42,205094,49.12,2.44,4860,7999,1159,243,11.89,-33.43,4860,7999,1159,243.0,11.89,-33.43,606.0,락앤락,0.3119234301213023,548.0,1154.0
372,한컴MDS,500,1095,8829,14.94,78095,12.49,7.38,1549,1545,383,44,12.12,-51.34,1549,1545,383,44.0,12.12,-51.34,608.0,한컴MDS,0.43425347329107017,339.0,947.0
373,에이프로젠제약,500,4579,241658,2.68,3656607,947.5,-4.19,509,3653,176,-20,12.13,-137.46,509,3653,176,-20.0,12.13,-137.46,609.0,에이프로젠제약,0.05913777882118543,1273.0,1882.0
374,휴젤,500,21573,4320,54.66,80672,63.45,6.25,2046,8947,1504,681,12.16,13.11,2046,8947,1504,681.0,12.16,13.11,610.0,휴젤,0.19340418946183524,903.0,1513.0
375,시큐브,100,758,40000,1.29,3603164,14.69,17.58,207,373,58,50,12.18,116.24,207,373,58,50.0,12.18,116.24,612.0,시큐브,0.37789657515003583,416.0,1028.0
376,에코플라스틱,500,336,25669,0.98,341214,-8.51,-0.75,12163,6281,5106,109,12.18,393.95,12163,6281,5106,109.0,12.18,393.95,612.0,에코플라스틱,0.44828239830105365,322.0,934.0
377,동양에스텍,500,256,10000,0.34,4240,-12.13,3.81,2121,1450,906,28,12.19,58.93,2121,1450,906,28.0,12.19,58.93,614.0,동양에스텍,0.25290772371853437,718.0,1332.0
378,한세실업,500,4440,40000,6.28,144325,-23.57,-0.06,19224,11795,7245,590,12.25,52.74,19224,11795,7245,590.0,12.25,52.74,617.0,한세실업,0.8828734440851812,71.0,688.0
379,잉글우드랩,0,1011,19868,11.79,132706,30.66,3.85,1333,1153,542,67,12.25,2519.48,1333,1153,542,67.0,12.25,2519.48,617.0,잉글우드랩,0.4201961740153473,354.0,971.0
380,SK머티리얼즈,500,20631,10548,14.96,192785,16.13,30.22,7722,16158,10955,2148,12.36,17.42,7722,16158,10955,2148.0,12.36,17.42,619.0,SK머티리얼즈,0.586419530055987,183.0,802.0
381,한국정보통신,500,3595,37444,64.6,67817,16.99,12.7,4988,3536,1513,342,12.45,2.03,4988,3536,1513,342.0,12.45,2.03,621.0,한국정보통신,0.22693381798527396,795.0,1416.0
382,삼보산업,100,273,38092,4.66,242718,-2.34,-28.77,3199,3005,2476,75,12.45,77.89,3199,3005,2476,75.0,12.45,77.89,621.0,삼보산업,0.44001601735283796,332.0,953.0
383,베뉴지,500,701,48200,0.68,106769,13.6,1.41,590,5784,2860,60,12.56,194.94,590,5784,2860,60.0,12.56,194.94,622.0,베뉴지,0.12333189041059445,1114.0,1736.0
384,원익,500,566,18193,0.87,34602,-2.28,50.98,904,1795,642,42,12.57,49.25,904,1795,642,42.0,12.57,49.25,624.0,원익,0.39715897120507443,392.0,1016.0
385,천보,500,9930,10000,4.79,265486,43.1,14.49,1353,2352,246,272,12.68,0.58,1353,2352,246,272.0,12.68,0.58,626.0,천보,0.13824520337642154,1072.0,1698.0
386,솔루에타,500,313,12980,1.97,27018,-3.67,-4.1,2563,1857,1152,62,12.78,11.66,2563,1857,1152,62.0,12.78,11.66,629.0,솔루에타,0.5319935710946891,231.0,860.0
387,흥국에프엔비,100,719,36706,1.24,302514,18.15,8.57,538,893,252,58,12.84,36.72,538,893,252,58.0,12.84,36.72,630.0,흥국에프엔비,0.28560838605918565,617.0,1247.0
388,메타바이오메드,500,647,23862,6.57,616849,19.78,6.48,594,1033,484,58,12.94,3188.74,594,1033,484,58.0,12.94,3188.74,633.0,메타바이오메드,0.47639074508345686,294.0,927.0
389,오킨스전자,500,271,7078,5.57,25040,14.26,0.92,385,548,289,15,12.96,22.47,385,548,289,15.0,12.96,22.47,635.0,오킨스전자,0.3441938455809452,487.0,1122.0
390,이엔에프테크놀로지,500,4809,14228,12.48,1594205,9.75,18.9,4810,3862,1172,596,13.06,67.48,4810,3862,1172,596.0,13.06,67.48,637.0,이엔에프테크놀로지,0.39844432988620265,389.0,1026.0
391,대주전자재료,500,5443,14830,2.23,1945878,748.98,-1.11,1164,1912,1091,27,13.07,-28.8,1164,1912,1091,27.0,13.07,-28.8,639.0,대주전자재료,0.27802717395417065,639.0,1278.0
392,코리아에프티,100,717,27841,37.05,106989,8.85,4.89,4387,3329,2071,82,13.07,20.91,4387,3329,2071,82.0,13.07,20.91,639.0,코리아에프티,0.46986432756132523,297.0,936.0
393,코프라,500,645,21116,3.44,86633,6.87,8.5,1829,1564,473,91,13.34,44.41,1829,1564,473,91.0,13.34,44.41,644.0,코프라,0.22162117213309793,817.0,1461.0
394,지란지교시큐리티,500,413,7775,3.71,15415,17.3,6.26,615,992,224,35,13.39,13.57,615,992,224,35.0,13.39,13.57,646.0,지란지교시큐리티,0.3069480063500864,565.0,1211.0
395,리노스,500,501,41541,3.81,1036674,-13.54,-0.59,813,1119,370,-3,13.46,-119.83,813,1119,370,-3.0,13.46,-119.83,647.0,리노스,0.3862459410079513,407.0,1054.0
396,한국콜마,500,9530,22881,25.34,179592,34.71,6.39,15407,24003,15524,1178,13.47,30.95,15407,24003,15524,1178.0,13.47,30.95,648.0,한국콜마,0.5098217780605866,259.0,907.0
397,콜마비앤에이치,500,12275,29544,5.08,465767,20.61,23.84,4389,3864,1318,741,13.6,26.54,4389,3864,1318,741.0,13.6,26.54,650.0,콜마비앤에이치,0.3732455439597175,426.0,1076.0
398,에프엔씨엔터,500,840,14365,0.47,13279,-18.81,-10.62,842,1153,484,-49,13.75,17.76,842,1153,484,-49.0,13.75,17.76,653.0,에프엔씨엔터,0.14721154003873904,1043.0,1696.0
399,보령제약,500,7786,47620,9.83,307689,22.8,11.96,5243,5076,2247,391,13.87,56.53,5243,5076,2247,391.0,13.87,56.53,660.0,보령제약,0.7880959434799177,104.0,764.0
400,동아화성,500,1014,15800,0.74,4524705,27.55,9.72,2885,2384,1275,107,13.87,-18.6,2885,2384,1275,107.0,13.87,-18.6,660.0,동아화성,0.3101734873172584,551.0,1211.0
401,유니온커뮤니티,500,400,14679,18.6,86630,10.56,12.2,410,545,199,35,13.94,7.73,410,545,199,35.0,13.94,7.73,662.0,유니온커뮤니티,0.48716688219180826,283.0,945.0
402,현우산업,500,433,15303,1.02,78408,-85.76,3.05,1685,1660,905,51,14.02,8.59,1685,1660,905,51.0,14.02,8.59,663.0,현우산업,0.17521244321625895,964.0,1627.0
403,비트컴퓨터,500,1812,16623,2.35,2162736,31.23,15.57,374,625,134,61,14.06,379.88,374,625,134,61.0,14.06,379.88,664.0,비트컴퓨터,0.22563784111590732,798.0,1462.0
404,이테크건설,5000,1873,2800,2.64,19734,11.7,6.68,16985,20344,15152,770,14.15,-31.92,16985,20344,15152,770.0,14.15,-31.92,666.0,이테크건설,0.26490856358761766,674.0,1340.0
405,KSS해운,500,1869,23186,7.62,43573,7.99,8.79,2312,9467,6678,529,14.19,12.36,2312,9467,6678,529.0,14.19,12.36,667.0,KSS해운,0.22818074883447856,788.0,1455.0
406,도이치모터스,500,1876,28037,3.87,136864,3.78,26.2,12087,8044,5423,829,14.21,63.78,12087,8044,5423,829.0,14.21,63.78,668.0,도이치모터스,0.6025873844031608,175.0,843.0
407,코스메카코리아,500,1159,10680,2.21,49888,19.91,3.85,3470,3509,1785,83,14.42,-15.87,3470,3509,1785,83.0,14.42,-15.87,671.0,코스메카코리아,0.3693694663048374,433.0,1104.0
408,신화콘텍,500,259,10144,0.67,43255,-39.31,-3.96,443,865,383,-7,14.59,-67.84,443,865,383,-7.0,14.59,-67.84,676.0,신화콘텍,0.18891812106809913,922.0,1598.0
409,팜스코,500,2226,36728,3.21,358147,-8.76,-2.77,11650,9792,6793,202,14.7,-14.81,11650,9792,6793,202.0,14.7,-14.81,680.0,팜스코,0.49335338263931783,277.0,957.0
410,오상자이엘,500,1620,17748,3.15,545820,-11.81,-33.88,742,739,361,-26,14.7,-127.55,742,739,361,-26.0,14.7,-127.55,680.0,오상자이엘,0.1813717627429258,949.0,1629.0
411,케이아이엔엑스,500,2889,4880,24.51,57503,19.7,20.1,646,1049,203,165,14.8,25.09,646,1049,203,165.0,14.8,25.09,682.0,케이아이엔엑스,0.3649755412731369,444.0,1126.0
412,가비아,500,1990,13536,15.57,568916,18.61,15.73,1483,1999,650,237,15.21,30.5,1483,1999,650,237.0,15.21,30.5,689.0,가비아,0.5383591962491778,224.0,913.0
413,새로닉스,500,374,12424,0.89,23619,-91.21,-2.43,1638,1346,529,1,15.26,-98.2,1638,1346,529,1.0,15.26,-98.2,691.0,새로닉스,0.16100233537254743,1003.0,1694.0
414,에스텍파마,500,1475,11898,1.82,583809,8.81,15.87,465,1164,137,38,15.26,148.87,465,1164,137,38.0,15.26,148.87,691.0,에스텍파마,0.12656434328639093,1105.0,1796.0
415,소리바다,500,483,95947,0.62,594959,-2.04,-53.13,458,558,332,-75,15.33,-28.56,458,558,332,-75.0,15.33,-28.56,694.0,소리바다,0.31767585976737833,534.0,1228.0
416,한국조선해양,5000,64050,70773,16.57,235153,21.58,1.4,151826,250554,121291,2902,15.36,160.28,151826,250554,121291,2902.0,15.36,160.28,696.0,한국조선해양,0.0766936444435734,1229.0,1925.0
417,인피니트헬스케어,500,1757,24396,2.36,1029384,26.18,8.95,743,1068,224,71,15.47,200.73,743,1068,224,71.0,15.47,200.73,698.0,인피니트헬스케어,0.555311126519703,205.0,903.0
418,동원수산,5000,416,4654,5.95,48496,5.13,12.71,1640,987,478,151,15.47,203.02,1640,987,478,151.0,15.47,203.02,698.0,동원수산,0.5434877680931651,220.0,918.0
419,한솔테크닉스,5000,2286,32110,13.2,80063,16.18,2.79,9722,4953,2335,255,15.48,63.67,9722,4953,2335,255.0,15.48,63.67,699.0,한솔테크닉스,0.4466399736779973,324.0,1023.0
420,뉴로스,500,572,22661,2.81,130785,-3.21,-41.14,593,1680,1056,-48,15.59,-644.88,593,1680,1056,-48.0,15.59,-644.88,701.0,뉴로스,0.2233980241874006,810.0,1511.0
421,우리기술,500,768,102751,2.32,907078,-8.3,-33.29,326,1040,708,-90,15.61,-213.9,326,1040,708,-90.0,15.61,-213.9,702.0,우리기술,0.11352311357207305,1143.0,1845.0
422,슈피겐코리아,500,4097,6216,16.2,91947,9.45,14.52,3086,3463,516,441,15.62,-10.37,3086,3463,516,441.0,15.62,-10.37,703.0,슈피겐코리아,0.704915489893715,134.0,837.0
423,제노레이,500,1352,14554,5.03,157298,9.19,25.33,651,785,189,147,15.66,33.86,651,785,189,147.0,15.66,33.86,704.0,제노레이,0.48997890434595515,281.0,985.0
