,종목명,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,매출액,자산총계,부채총계,영업이익,매출액증가율,영업이익증가율,당기순이익,주당순이익,보통부배당금,ROA,PBR,유보율,date,부채비율
11,현대모비스,5000,197714,95055,44.56,370103,9.21,7.28,380488,466061,141964,23593,8.25,16.51,380488,466061,141964,23593.0,8.25,16.51,2020-08-04,0.30460390378083557
2304,디케이락,500,805,8450,1.08,187800,9.28,9.57,744,1237,308,98,11.82,67.29,744,1237,308,98.0,11.82,67.29,2020-08-04,0.24898949070331447
1949,신도기연,500,1640,8061,0.06,113651,9.34,37.44,848,766,292,169,70.64,549.57,848,766,292,169.0,70.64,549.57,2020-08-04,0.381201044386423
860,한솔로지스틱스,500,607,27477,3.17,2504118,9.4,11.44,4607,1668,1197,95,6.12,143.89,4607,1668,1197,95.0,6.12,143.89,2020-08-04,0.7176258992805755
777,KTis,500,780,34802,4.27,198045,9.41,5.6,4510,3118,1436,138,0.04,52.94,4510,3118,1436,138.0,0.04,52.94,2020-08-04,0.4605516356638871
599,조선선재,500,1371,1258,5.88,19435,9.42,12.02,640,1211,106,141,2.13,3.62,640,1211,106,141.0,2.13,3.62,2020-08-04,0.0875309661436829
2472,유비벨록스,500,605,7116,2.38,221762,9.43,8.11,2794,2919,1092,78,157.22,364.4,2794,2919,1092,78.0,157.22,364.4,2020-08-04,0.37410071942446044
206,한섬,500,7734,24630,27.48,110172,9.5,8.37,12598,13236,2781,1065,-3.03,16.84,12598,13236,2781,1065.0,-3.03,16.84,2020-08-04,0.21010879419764278
606,진양홀딩스,500,1344,55895,3.13,45546,9.51,4.98,2253,5139,1413,129,-6.84,38.39,2253,5139,1413,129.0,-6.84,38.39,2020-08-04,0.27495621716287216
2124,우원개발,500,1124,18074,0.26,139383,9.53,19.5,2902,2019,1188,226,32.73,1470.84,2902,2019,1188,226.0,32.73,1470.84,2020-08-04,0.5884101040118871
269,롯데정보통신,5000,5312,15396,3.53,70418,9.55,14.77,8457,6967,3063,411,4.18,5.48,8457,6967,3063,411.0,4.18,5.48,2020-08-04,0.43964403617051817
495,대덕,500,1936,28590,13.85,379640,9.69,6.38,10722,12019,1621,464,81.1,33.42,10722,12019,1621,464.0,81.1,33.42,2020-08-04,0.1348697894999584
1661,메가스터디교육,100,4025,11822,33.59,67572,9.78,20.45,4373,4328,1823,596,22.56,23.7,4373,4328,1823,596.0,22.56,23.7,2020-08-04,0.4212107208872458
2293,휴비츠,500,815,11883,6.42,45808,9.79,9.16,880,1519,575,117,11.57,40.76,880,1519,575,117.0,11.57,40.76,2020-08-04,0.3785385121790652
2022,디지털대성,500,1365,22674,1.45,38855,9.79,19.7,1406,1425,480,211,31.55,67.33,1406,1425,480,211.0,31.55,67.33,2020-08-04,0.3368421052631579
1935,에스제이그룹,500,1722,9866,3.03,140232,9.79,33.03,1095,919,224,164,59.54,110.61,1095,919,224,164.0,59.54,110.61,2020-08-04,0.24374319912948858
937,대동전자,500,432,10490,41.99,10249,9.82,3.27,450,1790,320,17,-6.22,940.82,450,1790,320,17.0,-6.22,940.82,2020-08-04,0.1787709497206704
761,광명전기,500,826,43338,3.28,161792,9.82,8.53,1319,1567,513,80,17.15,180.13,1319,1567,513,80.0,17.15,180.13,2020-08-04,0.32737715379706445
2181,정산애강,500,1020,51795,1.54,399648,9.9,14.9,714,943,113,102,9.89,1.75,714,943,113,102.0,9.89,1.75,2020-08-04,0.11983032873807
2065,SBI인베스트먼트,500,1253,162067,5.24,2983932,9.91,12.85,236,1107,162,115,39.77,297.88,236,1107,162,115.0,39.77,297.88,2020-08-04,0.14634146341463414
152,한화에어로스페이스,5000,12759,50630,15.85,314633,10.04,5.45,52641,87084,58531,1652,18.21,210.71,52641,87084,58531,1652.0,18.21,210.71,2020-08-04,0.672121170364246
2082,KCI,500,1206,11270,2.65,45292,10.09,18.92,696,783,132,145,14.94,27.2,696,783,132,145.0,14.94,27.2,2020-08-04,0.1685823754789272
276,한일현대시멘트,5000,5072,16821,0.52,201635,10.22,21.69,3841,5602,3556,352,13.1,72.16,3841,5602,3556,352.0,13.1,72.16,2020-08-04,0.6347732952516958
2568,한국큐빅,500,512,16351,3.66,992245,10.33,5.99,1568,1311,739,60,-4.58,88.22,1568,1311,739,60.0,-4.58,88.22,2020-08-04,0.5636918382913806
27,KT&G,5000,109834,137292,42.78,298423,10.4,12.39,49632,107121,20062,13820,11.0,10.11,49632,107121,20062,13820.0,11.0,10.11,2020-08-04,0.1872835391753251
2536,재영솔루텍,500,543,73257,1.51,398909,10.44,12.79,1334,1645,1088,80,3.7,157.07,1334,1645,1088,80.0,3.7,157.07,2020-08-04,0.6613981762917933
1989,네오위즈홀딩스,500,1484,8857,7.77,43323,10.45,6.57,2539,6221,729,294,17.83,40.73,2539,6221,729,294.0,17.83,40.73,2020-08-04,0.11718373251888764
2073,에스폴리텍,500,1241,16335,0.94,1666445,10.57,21.06,1350,1095,531,149,-1.36,288.91,1350,1095,531,149.0,-1.36,288.91,2020-08-04,0.4849315068493151
2408,한국가구,100,678,15000,0.31,7466,10.64,5.97,657,1385,347,87,8.98,2.05,657,1385,347,87.0,8.98,2.05,2020-08-04,0.2505415162454874
1887,삼지전자,500,1893,16319,1.87,258030,10.65,7.12,14950,5595,2280,362,3.85,11.51,14950,5595,2280,362.0,3.85,11.51,2020-08-04,0.4075067024128686
1810,월덱스,500,2295,16511,5.21,342817,10.65,24.22,1174,1497,602,234,11.28,6.58,1174,1497,602,234.0,11.28,6.58,2020-08-04,0.4021376085504342
1995,라이온켐텍,500,1466,18894,2.63,12574,10.69,10.14,1561,1328,238,115,13.15,310.73,1561,1328,238,115.0,13.15,310.73,2020-08-04,0.17921686746987953
2433,파워넷,1000,637,13600,0.52,966329,10.7,10.78,1286,1063,532,52,10.0,85.91,1286,1063,532,52.0,10.0,85.91,2020-08-04,0.5004703668861712
531,S&T중공업,2500,1673,33253,10.95,82706,10.72,2.72,3751,8414,2243,192,-5.34,19.54,3751,8414,2243,192.0,-5.34,19.54,2020-08-04,0.2665795103399097
650,대영포장,500,1165,108395,1.45,1417086,10.75,7.42,2701,2122,617,134,-9.99,41.02,2701,2122,617,134.0,-9.99,41.02,2020-08-04,0.29076343072573047
401,한일홀딩스,5000,2739,5994,3.38,3707,10.81,1.38,16518,33000,15576,836,39.2,103.36,16518,33000,15576,836.0,39.2,103.36,2020-08-04,0.472
2704,피앤씨테크,500,390,6497,1.82,38895,10.85,4.74,214,682,86,23,-6.03,24.93,214,682,86,23.0,-6.03,24.93,2020-08-04,0.12609970674486803
361,서울가스,5000,3300,5000,7.48,160,10.89,3.06,13610,15834,6156,105,-2.01,140.85,13610,15834,6156,105.0,-2.01,140.85,2020-08-04,0.3887836301629405
128,DB하이텍,5000,15628,44399,31.59,986035,10.91,17.4,8074,10889,4442,1813,20.64,60.45,8074,10889,4442,1813.0,20.64,60.45,2020-08-04,0.40793461291211314
1849,윈스,500,2053,12149,9.14,325274,10.92,13.62,821,1670,513,154,16.2,40.94,821,1670,513,154.0,16.2,40.94,2020-08-04,0.307185628742515
1931,멀티캠퍼스,500,1740,5927,4.29,13401,10.97,18.19,2880,2041,918,242,19.99,10.75,2880,2041,918,242.0,19.99,10.75,2020-08-04,0.4497795198432141
841,제일연마,500,644,10000,4.93,4438,11.03,7.84,811,1025,185,69,-1.36,27.88,811,1025,185,69.0,-1.36,27.88,2020-08-04,0.18048780487804877
2731,삼일기업공사,500,364,12400,3.42,177124,11.03,5.69,763,698,110,36,35.74,19.45,763,698,110,36.0,35.74,19.45,2020-08-04,0.15759312320916904
1922,민앤지,500,1768,12362,6.27,77510,11.07,15.71,1237,3010,862,270,15.29,3.61,1237,3010,862,270.0,15.29,3.61,2020-08-04,0.28637873754152826
2488,선익시스템,500,589,8999,2.34,28418,11.1,8.19,876,1201,295,114,-25.72,34.57,876,1201,295,114.0,-25.72,34.57,2020-08-04,0.2456286427976686
103,한국항공우주,5000,23053,97475,14.9,356289,11.12,15.84,31102,43671,31840,2756,11.63,88.25,31102,43671,31840,2756.0,11.63,88.25,2020-08-04,0.7290879531038904
2269,오공,500,861,16942,0.7,250957,11.14,9.79,1519,1269,462,89,0.84,18.85,1519,1269,462,89.0,0.84,18.85,2020-08-04,0.3640661938534279
220,동원F&B,5000,7197,3859,6.69,8087,11.15,10.0,30303,15735,8923,1014,8.13,16.28,30303,15735,8923,1014.0,8.13,16.28,2020-08-04,0.5670797585001589
2788,광진윈텍,500,280,9658,1.8,36259,11.15,5.3,954,967,525,37,1.7,241.86,954,967,525,37.0,1.7,241.86,2020-08-04,0.5429162357807652
312,미원상사,500,4080,4970,4.66,1768,11.16,14.74,2500,2807,561,323,-23.93,18.73,2500,2807,561,323.0,-23.93,18.73,2020-08-04,0.19985749910936942
82,두산밥캣,500,26716,100249,22.6,399032,11.26,7.05,45096,67042,27252,4770,13.57,3.91,45096,67042,27252,4770.0,13.57,3.91,2020-08-04,0.40649145311894036
1610,코웰패션,500,5753,88500,4.23,700919,11.28,22.72,3947,3644,1080,761,16.29,7.15,3947,3644,1080,761.0,16.29,7.15,2020-08-04,0.29637760702524696
1921,KMH,500,1770,22668,2.74,166902,11.34,7.13,2580,7480,2551,449,33.97,29.6,2580,7480,2551,449.0,33.97,29.6,2020-08-04,0.3410427807486631
1806,와이엔텍,500,2320,18200,2.8,285887,11.35,14.66,986,2429,1081,262,29.64,75.15,986,2429,1081,262.0,29.64,75.15,2020-08-04,0.4450391107451626
2707,TJ미디어,500,389,13932,0.23,16153,11.39,1.15,754,1059,277,5,10.06,125.51,754,1059,277,5.0,10.06,125.51,2020-08-04,0.2615675165250236
1808,인바디,500,2299,13684,20.25,68098,11.51,15.47,1171,1549,151,276,17.49,16.68,1171,1549,151,276.0,17.49,16.68,2020-08-04,0.0974822466107166
1659,한국알콜,500,4094,21606,0.88,3143671,11.55,10.23,2914,4371,1026,331,13.85,16.12,2914,4371,1026,331.0,13.85,16.12,2020-08-04,0.23472889498970487
1898,하이록코리아,500,1851,13613,39.88,63584,11.55,3.81,1421,3813,323,149,14.36,37.56,1421,3813,323,149.0,14.36,37.56,2020-08-04,0.08471020194072909
16,기아차,5000,166807,405363,38.89,1991921,11.56,6.5,581460,553448,263667,20097,7.34,73.63,581460,553448,263667,20097.0,7.34,73.63,2020-08-04,0.476407901013284
42,미래에셋대우,5000,55110,645316,13.03,6544420,11.57,7.56,154310,1331498,1239562,7280,15.83,42.09,154310,1331498,1239562,7280.0,15.83,42.09,2020-08-04,0.9309529567449595
743,신흥,500,869,9600,0.03,8142,11.6,2.33,1230,1467,587,30,1.21,170.49,1230,1467,587,30.0,1.21,170.49,2020-08-04,0.4001363326516701
323,한화투자증권,5000,4001,214548,5.52,1870686,11.66,9.36,15712,98783,87229,1119,-17.39,15.09,15712,98783,87229,1119.0,-17.39,15.09,2020-08-04,0.883036554872802
668,삼부토건,1000,1091,137546,0.48,2203039,11.66,3.66,2263,4207,2201,50,27.54,152.91,2263,4207,2201,50.0,27.54,152.91,2020-08-04,0.5231756596149275
1635,에이스침대,1000,4686,11090,3.29,384,11.67,9.41,2774,5197,512,499,13.24,23.98,2774,5197,512,499.0,13.24,23.98,2020-08-04,0.09851837598614585
680,시디즈,500,1064,2000,0.71,10721,11.68,27.34,1929,671,350,86,36.84,100.87,1929,671,350,86.0,36.84,100.87,2020-08-04,0.5216095380029806
2641,화신정공,100,447,36374,0.79,789873,11.71,4.39,2311,1342,536,40,9.05,161.7,2311,1342,536,40.0,9.05,161.7,2020-08-04,0.39940387481371087
2819,에스티오,500,231,12501,0.51,10342,11.78,9.62,851,682,330,54,-3.6,897.23,851,682,330,54.0,-3.6,897.23,2020-08-04,0.4838709677419355
354,SK렌터카,500,3401,35765,1.26,309045,11.8,5.51,6409,16452,13004,415,-1.78,90.16,6409,16452,13004,415.0,-1.78,90.16,2020-08-04,0.7904206175540968
1602,파트론,500,6011,54156,18.99,1649435,11.8,18.71,12546,5208,1187,1052,57.52,248.16,12546,5208,1187,1052.0,57.52,248.16,2020-08-04,0.22791858678955454
1732,사람인에이치알,500,2985,11659,26.22,11885,11.81,25.35,936,1307,194,273,8.62,44.6,936,1307,194,273.0,8.62,44.6,2020-08-04,0.14843152257077277
1877,어보브반도체,500,1938,17460,7.89,1380845,11.82,15.8,1268,1105,201,139,15.76,79.41,1268,1105,201,139.0,15.76,79.41,2020-08-04,0.18190045248868777
1863,동국산업,1000,1988,54244,3.68,1377601,11.82,3.58,6737,7529,2231,329,-11.1,122.81,6737,7529,2231,329.0,-11.1,122.81,2020-08-04,0.2963208925488113
1896,대한뉴팜,500,1859,14355,0.55,663355,11.85,29.27,1341,1279,668,207,12.19,3.39,1341,1279,668,207.0,12.19,3.39,2020-08-04,0.5222830336200156
105,키움증권,5000,22100,22100,24.52,142560,11.85,16.97,30570,233736,211152,4737,42.41,63.92,30570,233736,211152,4737.0,42.41,63.92,2020-08-04,0.9033781702433514
2638,유니온커뮤니티,500,449,14679,18.77,175881,11.86,12.2,410,545,199,35,13.94,7.73,410,545,199,35.0,13.94,7.73,2020-08-04,0.3651376146788991
420,일진홀딩스,1000,2507,49347,2.69,464622,11.87,4.52,8962,11886,6721,317,-3.58,31.38,8962,11886,6721,317.0,-3.58,31.38,2020-08-04,0.5654551573279488
864,삼아알미늄,500,593,11000,33.74,146286,11.87,4.62,1911,2085,996,64,11.56,16.48,1911,2085,996,64.0,11.56,16.48,2020-08-04,0.4776978417266187
709,KC그린홀딩스,500,958,22435,2.96,117258,11.89,4.61,6989,8161,5218,215,30.71,62.04,6989,8161,5218,215.0,30.71,62.04,2020-08-04,0.6393824286239431
148,F&F,500,13044,15400,10.44,92180,11.89,25.13,9103,6844,2007,1507,36.21,64.82,9103,6844,2007,1507.0,36.21,64.82,2020-08-04,0.29324956165984806
2329,에이치시티,500,772,6928,3.23,122327,11.9,12.94,474,755,257,72,30.17,66.29,474,755,257,72.0,30.17,66.29,2020-08-04,0.3403973509933775
2490,금강철강,500,589,18720,2.01,12319,11.91,4.0,1713,1366,265,22,-12.16,44.09,1713,1366,265,22.0,-12.16,44.09,2020-08-04,0.19399707174231332
1926,제노레이,500,1754,14554,4.58,2537777,11.92,25.33,651,785,189,147,15.66,33.86,651,785,189,147.0,15.66,33.86,2020-08-04,0.24076433121019108
891,우신시스템,500,527,18314,5.47,89283,11.95,5.18,3004,3127,1983,13,-0.87,219.25,3004,3127,1983,13.0,-0.87,219.25,2020-08-04,0.6341541413495363
2734,아즈텍WB,500,360,21491,1.52,52400,11.96,5.12,446,1174,220,29,-5.17,42.94,446,1174,220,29.0,-5.17,42.94,2020-08-04,0.18739352640545145
408,도화엔지니어링,500,2694,33720,1.56,98679,11.98,6.94,5161,4090,1564,271,28.24,56.56,5161,4090,1564,271.0,28.24,56.56,2020-08-04,0.3823960880195599
1855,연우,500,2021,12398,10.82,34219,11.98,8.38,2946,2959,863,225,7.94,264.59,2946,2959,863,225.0,7.94,264.59,2020-08-04,0.29165258533288274
2116,서린바이오,500,1140,8001,1.1,517671,11.99,15.67,544,807,194,18,9.09,2.83,544,807,194,18.0,9.09,2.83,2020-08-04,0.24039653035935563
638,백산,500,1232,24200,3.16,127046,12.03,4.9,4689,3306,1884,320,45.11,48.83,4689,3306,1884,320.0,45.11,48.83,2020-08-04,0.5698729582577132
2121,컴퍼니케이,500,1135,15610,0.15,65519,12.04,22.88,169,573,61,108,13.78,32.23,169,573,61,108.0,13.78,32.23,2020-08-04,0.10645724258289703
461,자이에스앤디,1000,2175,26783,1.14,5516419,12.05,13.56,2779,2785,1333,165,30.68,13.63,2779,2785,1333,165.0,30.68,13.63,2020-08-04,0.4786355475763016
506,DI동일,5000,1817,2466,6.03,7014,12.06,2.55,9395,9570,4315,486,3.32,9.26,9395,9570,4315,486.0,3.32,9.26,2020-08-04,0.4508881922675026
757,그린케미칼,500,836,24000,1.4,123637,12.1,5.17,2319,1868,783,78,-8.76,132.13,2319,1868,783,78.0,-8.76,132.13,2020-08-04,0.41916488222698073
799,KCTC,500,730,30000,1.16,108247,12.11,3.75,4462,4243,2270,190,11.42,27.06,4462,4243,2270,190.0,11.42,27.06,2020-08-04,0.5349988215884987
2360,유니트론텍,500,738,11852,0.87,408813,12.19,7.26,2836,1146,689,102,20.88,63.27,2836,1146,689,102.0,20.88,63.27,2020-08-04,0.6012216404886562
35,CJ제일제당,5000,62475,15054,21.5,101894,12.24,3.16,223525,262806,167992,8969,19.72,7.7,223525,262806,167992,8969.0,19.72,7.7,2020-08-04,0.6392243708286721
2352,대륙제관,500,745,15903,1.95,61637,12.3,5.1,1973,1575,506,84,0.48,48.65,1973,1575,506,84.0,0.48,48.65,2020-08-04,0.32126984126984126
819,가온전선,5000,693,4160,4.06,3523,12.32,2.12,8303,5126,2558,71,-1.24,37.61,8303,5126,2558,71.0,-1.24,37.61,2020-08-04,0.49902458056964494
1519,솔브레인홀딩스,500,16685,17398,26.88,0,12.37,15.06,10213,11595,3178,1742,6.0,6.16,10213,11595,3178,1742.0,6.0,6.16,2020-08-04,0.2740836567485985
33,고려아연,5000,77461,18870,23.46,72750,12.5,9.76,66948,78406,10022,8053,-2.74,5.31,66948,78406,10022,8053.0,-2.74,5.31,2020-08-04,0.12782185036859425
1775,네오팜,500,2540,8207,12.9,51171,12.57,23.33,832,1227,170,230,25.6,19.83,832,1227,170,230.0,25.6,19.83,2020-08-04,0.13854930725346373
136,더블유게임즈,500,14663,18375,14.16,331728,12.63,18.93,5138,10747,4276,1546,6.38,13.89,5138,10747,4276,1546.0,6.38,13.89,2020-08-04,0.3978784777147111
529,샘표,1000,1679,2876,5.87,28966,12.68,7.75,2810,3386,822,295,1.87,50.16,2810,3386,822,295.0,1.87,50.16,2020-08-04,0.24276432368576492
2136,팜스빌,500,1098,7929,0.21,65175,12.69,17.63,300,678,123,71,51.02,26.88,300,678,123,71.0,51.02,26.88,2020-08-04,0.18141592920353983
177,이노션,500,9720,20000,28.9,57685,12.85,9.88,12743,20755,12945,1219,2.83,3.1,12743,20755,12945,1219.0,2.83,3.1,2020-08-04,0.6237051312936642
350,해성디에스,5000,3476,17000,3.68,368443,12.9,9.06,3814,3266,1180,270,4.99,0.99,3814,3266,1180,270.0,4.99,0.99,2020-08-04,0.36129822412737295
1685,바텍,500,3647,14854,22.19,179720,12.91,14.49,2717,3870,1332,429,15.92,8.93,2717,3870,1332,429.0,15.92,8.93,2020-08-04,0.34418604651162793
271,한국콜마홀딩스,500,5301,17939,18.75,186308,12.92,10.51,5934,10951,4913,1012,5.65,6.69,5934,10951,4913,1012.0,5.65,6.69,2020-08-04,0.44863482786960096
1660,삼표시멘트,500,4037,107357,1.24,5823557,12.92,2.96,5955,13470,7118,481,3.38,6348.81,5955,13470,7118,481.0,3.38,6348.81,2020-08-04,0.5284335560504826
2242,이엠넷,500,904,22276,27.15,140349,12.97,13.02,367,973,350,77,16.14,37.85,367,973,350,77.0,16.14,37.85,2020-08-04,0.3597122302158273
2213,큐캐피탈,500,960,167902,2.2,428605,13.0,4.7,246,1332,214,15,144.1,109.4,246,1332,214,15.0,144.1,109.4,2020-08-04,0.16066066066066065
144,만도,1000,13336,46957,24.2,982837,13.08,7.55,59819,45956,30100,2186,5.6,10.72,59819,45956,30100,2186.0,5.6,10.72,2020-08-04,0.6549743232657325
182,삼양식품,5000,9228,7533,7.84,43715,13.09,23.15,5436,4704,1827,783,15.81,41.88,5436,4704,1827,783.0,15.81,41.88,2020-08-04,0.38839285714285715
1813,비츠로테크,500,2269,22354,0.46,4383166,13.11,11.37,3130,3675,1205,374,115.95,82.54,3130,3675,1205,374.0,115.95,82.54,2020-08-04,0.32789115646258504
2421,린드먼아시아,500,664,13500,1.89,25006,13.11,9.73,85,532,79,54,5.19,15.39,85,532,79,54.0,5.19,15.39,2020-08-04,0.14849624060150377
2392,티비씨,500,695,100000,0.0,153577,13.11,5.13,493,1217,111,52,21.36,104.07,493,1217,111,52.0,21.36,104.07,2020-08-04,0.09120788824979457
477,LS전선아시아,500,2064,30625,1.96,74006,13.14,12.07,5203,3597,1984,260,17.91,44.47,5203,3597,1984,260.0,17.91,44.47,2020-08-04,0.5515707534056158
1591,KG이니시스,500,6544,27904,18.07,370946,13.18,21.61,9561,12780,8973,861,3.4,42.57,9561,12780,8973,861.0,3.4,42.57,2020-08-04,0.702112676056338
2650,토탈소프트,500,436,8558,2.01,450822,13.28,25.64,118,214,101,24,1.61,24.41,118,214,101,24.0,1.61,24.41,2020-08-04,0.4719626168224299
201,쿠쿠홈시스,100,7932,22437,4.19,32198,13.29,16.1,6637,6266,1688,1206,58.48,78.65,6637,6266,1688,1206.0,58.48,78.65,2020-08-04,0.2693903606766677
602,대성에너지,1000,1360,27500,2.13,55475,13.29,4.28,7749,6972,3907,243,0.5,52.07,7749,6972,3907,243.0,0.5,52.07,2020-08-04,0.5603843947217442
1692,뷰웍스,500,3526,10002,27.82,114887,13.36,16.03,1360,1810,196,264,3.51,17.14,1360,1810,196,264.0,3.51,17.14,2020-08-04,0.10828729281767956
229,화승엔터프라이즈,500,6689,60537,3.36,139356,13.38,19.87,12016,9789,6114,854,36.67,112.02,12016,9789,6114,854.0,36.67,112.02,2020-08-04,0.6245786086423537
116,팬오션,1000,19164,534569,11.03,821318,13.43,5.49,24679,44542,15546,2100,-7.51,2.98,24679,44542,15546,2100.0,-7.51,2.98,2020-08-04,0.3490189035068026
202,오리온홀딩스,500,7831,62645,10.78,178908,13.44,2.55,21036,43663,10287,2667,5.3,15.68,21036,43663,10287,2667.0,5.3,15.68,2020-08-04,0.23559993587247785
2307,씨큐브,500,800,10138,1.5,76511,13.46,11.4,447,822,281,77,8.11,54.24,447,822,281,77.0,8.11,54.24,2020-08-04,0.3418491484184915
2628,이씨에스,500,457,12294,3.47,650592,13.48,8.72,704,633,185,35,11.03,147.77,704,633,185,35.0,11.03,147.77,2020-08-04,0.292259083728278
727,제이에스코퍼레이션,100,919,13336,0.92,32086,13.48,5.26,2531,2016,447,111,23.07,147.9,2531,2016,447,111.0,23.07,147.9,2020-08-04,0.22172619047619047
1601,다우데이타,500,6013,38300,5.41,996079,13.78,13.08,36056,246446,218677,5590,35.05,54.57,36056,246446,218677,5590.0,35.05,54.57,2020-08-04,0.8873221719971109
1974,알리코제약,500,1532,9822,0.92,1422133,13.79,15.1,1158,1188,475,125,21.46,70.2,1158,1188,475,125.0,21.46,70.2,2020-08-04,0.3998316498316498
170,한화시스템,5000,10770,110230,1.92,493617,13.84,8.15,15460,24092,14408,858,36.94,91.51,15460,24092,14408,858.0,36.94,91.51,2020-08-04,0.5980408434335049
1583,이엔에프테크놀로지,500,6851,14258,12.06,153409,13.86,18.9,4810,3862,1172,596,13.06,67.48,4810,3862,1172,596.0,13.06,67.48,2020-08-04,0.3034697048161574
1860,레이언스,500,1999,16591,4.11,125805,13.88,7.81,1262,2321,378,228,8.41,7.61,1262,2321,378,228.0,8.41,7.61,2020-08-04,0.16286083584661784
1768,인터로조,500,2592,11677,6.37,31256,13.88,13.89,926,1811,497,226,16.54,32.07,926,1811,497,226.0,16.54,32.07,2020-08-04,0.274434014356709
612,삼익악기,500,1322,90531,2.62,189105,13.9,6.27,2654,6129,3887,277,10.56,16.97,2654,6129,3887,277.0,10.56,16.97,2020-08-04,0.6341980747267091
1774,알에프텍,500,2545,25327,3.52,850431,13.92,-1.42,2845,2543,1215,131,18.37,127.81,2845,2543,1215,131.0,18.37,127.81,2020-08-04,0.4777821470703893
2526,흥국에프엔비,100,554,36706,0.94,143532,13.98,8.57,538,893,252,58,12.84,36.72,538,893,252,58.0,12.84,36.72,2020-08-04,0.2821948488241881
9,현대차,5000,283110,213668,33.82,2483347,14.04,4.32,1057464,1945122,1181465,36055,9.23,48.86,1057464,1945122,1181465,36055.0,9.23,48.86,2020-08-04,0.6073989189367043
366,JW생명과학,2500,3238,15835,5.25,330610,14.07,18.92,1702,2014,788,297,9.66,26.37,1702,2014,788,297.0,9.66,26.37,2020-08-04,0.3912611717974181
1761,나스미디어,500,2635,8755,11.32,77113,14.12,15.07,1170,3562,2031,306,9.76,22.5,1170,3562,2031,306.0,9.76,22.5,2020-08-04,0.5701852891633914
2080,엠게임,500,1212,19544,2.27,3275068,14.12,21.89,376,485,86,72,38.77,100.21,376,485,86,72.0,38.77,100.21,2020-08-04,0.177319587628866
561,깨끗한나라,1000,1523,37241,1.83,335517,14.15,-7.29,5942,5383,3758,51,-5.14,117.62,5942,5383,3758,51.0,-5.14,117.62,2020-08-04,0.6981237228311351
707,한미글로벌,500,963,10958,4.06,211402,14.18,20.64,2947,2036,795,244,41.85,121.97,2947,2036,795,244.0,41.85,121.97,2020-08-04,0.39047151277013753
1674,휴온스글로벌,500,3789,11464,13.8,33665,14.18,7.2,4494,7422,1604,729,18.68,7.28,4494,7422,1604,729.0,18.68,7.28,2020-08-04,0.21611425491781192
2541,우리바이오,500,537,44918,1.33,198640,14.23,5.0,16726,6100,4828,265,30.71,315.28,16726,6100,4828,265.0,30.71,315.28,2020-08-04,0.7914754098360656
336,한국카본,500,3794,43961,12.02,1543956,14.26,5.74,2734,3976,849,253,20.6,309.59,2734,3976,849,253.0,20.6,309.59,2020-08-04,0.21353118712273642
255,빙그레,5000,5940,9851,25.23,25713,14.29,7.36,8783,6849,1138,458,2.71,16.41,8783,6849,1138,458.0,2.71,16.41,2020-08-04,0.16615564315958534
1737,에이치엘사이언스,500,2910,5142,1.68,33344,14.3,27.38,1283,944,132,237,100.07,93.36,1283,944,132,237.0,100.07,93.36,2020-08-04,0.13983050847457626
1728,에스티아이,500,3008,15830,5.35,423577,14.37,14.59,3189,2657,978,271,11.25,22.89,3189,2657,978,271.0,11.25,22.89,2020-08-04,0.3680843056078284
453,신세계 I&C,5000,2227,1720,0.89,9600,14.43,5.44,4560,2898,905,185,22.09,24.17,4560,2898,905,185.0,22.09,24.17,2020-08-04,0.31228433402346445
2347,시큐브,100,748,40000,1.21,1091752,14.5,17.58,207,373,58,50,12.18,116.24,207,373,58,50.0,12.18,116.24,2020-08-04,0.1554959785522788
2322,링네트,500,779,15217,0.83,1226912,14.5,12.73,1319,944,364,70,-4.1,72.57,1319,944,364,70.0,-4.1,72.57,2020-08-04,0.3855932203389831
608,HDC현대EP,500,1338,31900,6.36,227381,14.57,4.66,8351,5473,2638,341,-8.31,137.32,8351,5473,2638,341.0,-8.31,137.32,2020-08-04,0.4820025580120592
2717,부스타,500,380,8405,1.63,53939,14.6,4.83,965,942,205,33,17.82,63.47,965,942,205,33.0,17.82,63.47,2020-08-04,0.21762208067940553
84,GS리테일,1000,26372,77000,17.5,213625,14.62,6.25,90069,70548,45040,2388,3.63,32.5,90069,70548,45040,2388.0,3.63,32.5,2020-08-04,0.6384305720927596
2377,케이피에프,500,720,17449,0.81,82390,14.63,4.91,3763,4158,2540,163,0.33,2.82,3763,4158,2540,163.0,0.33,2.82,2020-08-04,0.6108706108706109
636,노루홀딩스,500,1237,13291,2.14,4545,14.64,1.25,8843,10074,4399,250,5.78,144.35,8843,10074,4399,250.0,5.78,144.35,2020-08-04,0.4366686519753822
163,지누스,500,11828,14407,17.7,58472,14.65,26.32,8171,7551,3809,1039,31.42,95.66,8171,7551,3809,1039.0,31.42,95.66,2020-08-04,0.5044364984770229
713,조흥,5000,951,600,0.0,250,14.79,6.15,1951,2180,886,123,16.06,8.62,1951,2180,886,123.0,16.06,8.62,2020-08-04,0.40642201834862385
109,BGF리테일,1000,21086,17284,32.11,26801,14.8,26.46,59461,21724,15498,1966,2.95,3.75,59461,21724,15498,1966.0,2.95,3.75,2020-08-04,0.7134045295525686
