,종목명,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,매출액,자산총계,부채총계,영업이익,매출액증가율,영업이익증가율,당기순이익,주당순이익,보통부배당금,ROA,PBR,유보율,date,부채비율
181,코오롱인더,5000,9335,26979,16.09,174064,5.94,1.58,44072,52931,31668,1729,-1.18,3.61,44072,52931,31668,1729.0,-1.18,3.61,2020-08-04,0.5982883376471255
172,영원무역,500,10568,44311,23.69,136159,5.94,9.82,23883,31045,11356,2376,13.66,18.17,23883,31045,11356,2376.0,13.66,18.17,2020-08-04,0.36579159284909
2301,씨앤지하이테크,500,808,8405,2.29,78535,5.96,19.05,1288,813,139,145,45.98,19.94,1288,813,139,145.0,45.98,19.94,2020-08-04,0.17097170971709716
712,유니켐,500,952,68710,1.35,279751,6.02,21.11,1088,1697,810,179,30.06,36.05,1088,1697,810,179.0,30.06,36.05,2020-08-04,0.47731290512669416
651,동남합성,500,1162,3610,0.13,707,6.03,26.23,1261,951,206,98,-9.49,23.27,1261,951,206,98.0,-9.49,23.27,2020-08-04,0.21661409043112514
961,SJM홀딩스,500,379,14934,5.7,13897,6.03,3.32,1608,3089,561,63,0.01,253.74,1608,3089,561,63.0,0.01,253.74,2020-08-04,0.1816121722240207
233,아주캐피탈,5000,6531,57546,1.2,12739,6.05,12.97,7264,74732,66592,1338,18.06,21.57,7264,74732,66592,1338.0,18.06,21.57,2020-08-04,0.8910774500883156
804,CS홀딩스,5000,719,1154,2.23,1429,6.07,4.35,1350,3143,281,170,10.14,27.82,1350,3143,281,170.0,10.14,27.82,2020-08-04,0.08940502704422526
620,디씨엠,500,1287,11700,1.08,3537,6.16,14.18,1453,2070,323,175,26.19,131.74,1453,2070,323,175.0,26.19,131.74,2020-08-04,0.15603864734299516
976,케이탑리츠,1000,349,46224,11.94,51012,6.19,8.22,143,2108,1423,105,29.99,45.07,143,2108,1423,105.0,29.99,45.07,2020-08-04,0.6750474383301708
708,신세계건설,5000,958,4000,3.18,71503,6.22,8.91,10162,7777,5802,242,-6.28,10.93,10162,7777,5802,242.0,-6.28,10.93,2020-08-04,0.746046033174746
686,한전산업,500,1051,32600,1.87,33935,6.25,21.47,3136,1889,1031,215,19.44,46.62,3136,1889,1031,215.0,19.44,46.62,2020-08-04,0.5457914240338804
2194,아진산업,500,994,36607,3.16,774169,6.26,7.47,4408,6547,4534,278,11.05,213.19,4408,6547,4534,278.0,11.05,213.19,2020-08-04,0.6925309301970368
264,에스엘,500,5543,48203,12.93,239976,6.28,7.25,22622,22736,8949,436,41.51,852.55,22622,22736,8949,436.0,41.51,852.55,2020-08-04,0.3936048557353976
384,한라홀딩스,5000,2974,10472,10.08,33594,6.29,4.69,7984,17604,8743,754,-9.95,30.15,7984,17604,8743,754.0,-9.95,30.15,2020-08-04,0.4966484889797773
513,KPX홀딩스,5000,1779,4225,32.07,479,6.3,5.55,10103,14490,2677,643,-1.18,90.05,10103,14490,2677,643.0,-1.18,90.05,2020-08-04,0.18474810213940648
2670,KBI메탈,500,423,32951,2.78,132268,6.33,7.58,4948,2194,1261,103,6.69,95.2,4948,2194,1261,103.0,6.69,95.2,2020-08-04,0.5747493163172288
2365,엠에스씨,500,737,17600,0.51,7934,6.37,13.76,1492,1582,679,147,3.2,8.86,1492,1582,679,147.0,3.2,8.86,2020-08-04,0.42920353982300885
299,유니드,5000,4396,8890,9.37,74995,6.44,9.87,8752,10763,3675,848,7.51,5.88,8752,10763,3675,848.0,7.51,5.88,2020-08-04,0.3414475517978259
1740,이베스트투자증권,5000,2885,55481,0.56,548969,6.45,11.23,10883,45480,40340,705,4.03,48.88,10883,45480,40340,705.0,4.03,48.88,2020-08-04,0.8869832893579596
2575,코리아에셋투자증권,5000,507,6388,0.22,99701,6.58,10.91,2183,2860,2163,94,31.53,17.38,2183,2860,2163,94.0,31.53,17.38,2020-08-04,0.7562937062937063
648,화승알앤에이,500,1169,64561,2.41,130897,6.58,9.62,15520,12116,9493,650,1.56,20.44,15520,12116,9493,650.0,1.56,20.44,2020-08-04,0.7835094090458897
2161,서호전기,500,1051,5150,1.86,12407,6.74,22.33,649,931,182,122,108.02,87.23,649,931,182,122.0,108.02,87.23,2020-08-04,0.19548872180451127
2306,동일금속,500,802,7000,0.28,612,6.75,13.31,866,1426,177,126,-9.84,29.08,866,1426,177,126.0,-9.84,29.08,2020-08-04,0.1241234221598878
2175,시공테크,500,1032,20048,0.85,15508,6.79,15.13,1198,1552,469,80,64.17,269.78,1198,1552,469,80.0,64.17,269.78,2020-08-04,0.3021907216494845
272,한진중공업,5000,5271,83274,20.88,101323,6.84,-132.2,16288,24702,22252,838,-4.07,35.94,16288,24702,22252,838.0,-4.07,35.94,2020-08-04,0.9008177475508056
186,대상,1000,9043,34648,17.55,280336,6.86,11.17,29640,23971,13749,1298,0.24,8.03,29640,23971,13749,1298.0,0.24,8.03,2020-08-04,0.5735680614075341
658,미원홀딩스,500,1139,2320,1.17,5512,6.89,11.03,1884,3152,1176,78,32.69,114.9,1884,3152,1176,78.0,32.69,114.9,2020-08-04,0.3730964467005076
2155,글로벌텍스프리,500,1069,38795,6.54,144755,6.9,7.91,598,1265,536,69,43.89,895.34,598,1265,536,69.0,43.89,895.34,2020-08-04,0.42371541501976284
911,진양산업,500,477,13000,0.83,233404,6.95,17.84,618,545,135,91,4.19,202.69,618,545,135,91.0,4.19,202.69,2020-08-04,0.24770642201834864
77,한국금융지주,5000,29869,55726,33.72,590238,6.97,18.14,107713,607663,557333,9418,27.44,46.54,107713,607663,557333,9418.0,27.44,46.54,2020-08-04,0.917174486516375
811,동양피스톤,500,707,13168,0.39,630898,6.99,9.72,3648,3503,2421,185,9.79,6.12,3648,3503,2421,185.0,9.79,6.12,2020-08-04,0.6911218955181273
308,스카이라이프,2500,4108,47822,15.98,118905,7.01,8.02,6946,8483,1428,694,0.55,3.93,6946,8483,1428,694.0,0.55,3.93,2020-08-04,0.1683366733466934
2696,텔레필드,500,397,9176,1.62,84549,7.02,19.28,565,582,310,57,87.06,152.34,565,582,310,57.0,87.06,152.34,2020-08-04,0.5326460481099656
610,BYC,5000,1327,625,1.71,967,7.02,6.6,1706,6939,2596,234,-13.79,9.59,1706,6939,2596,234.0,-13.79,9.59,2020-08-04,0.37411730796944803
1978,레드캡투어,500,1529,8589,11.94,1874680,7.11,14.22,2588,4167,2527,350,1.5,37.3,2588,4167,2527,350.0,1.5,37.3,2020-08-04,0.6064314854811615
459,샘표식품,500,2193,4568,5.43,60311,7.12,18.57,2808,2258,688,310,1.89,44.45,2808,2258,688,310.0,1.89,44.45,2020-08-04,0.3046944198405669
2001,디와이피엔에프,500,1436,10714,2.4,119651,7.15,36.0,1656,1583,910,283,47.74,111.68,1656,1583,910,283.0,47.74,111.68,2020-08-04,0.574857864813645
844,DSR,500,641,16000,1.0,27322,7.22,5.83,2363,2404,851,107,0.13,7.61,2363,2404,851,107.0,0.13,7.61,2020-08-04,0.35399334442595676
327,우리종금,500,3958,674203,1.89,1482232,7.25,15.63,2051,33990,30316,539,-0.17,63.67,2051,33990,30316,539.0,-0.17,63.67,2020-08-04,0.8919093851132686
431,삼영무역,500,2391,18467,19.87,6791,7.28,10.32,2742,5109,1134,92,1.85,35.12,2742,5109,1134,92.0,1.85,35.12,2020-08-04,0.22196124486200822
262,쿠쿠홀딩스,500,5726,7112,4.82,6391,7.31,12.38,5283,8126,1389,745,7.1,9.76,5283,8126,1389,745.0,7.1,9.76,2020-08-04,0.1709328082697514
766,한농화성,500,810,15637,10.71,47683,7.35,8.58,2047,1634,431,120,-8.3,110.89,2047,1634,431,120.0,-8.3,110.89,2020-08-04,0.2637698898408813
572,노루페인트,500,1482,20000,5.91,186476,7.37,6.0,6475,6273,3050,292,5.32,28.66,6475,6273,3050,292.0,5.32,28.66,2020-08-04,0.48621074446038576
338,화승인더,500,3789,55320,18.31,262946,7.38,19.66,14259,12707,8173,1136,28.24,96.8,14259,12707,8173,1136.0,28.24,96.8,2020-08-04,0.6431887935783427
1770,인탑스,500,2554,17200,28.64,469394,7.42,8.5,9105,6922,1713,707,27.24,106.69,9105,6922,1713,707.0,27.24,106.69,2020-08-04,0.24747182895117018
2660,기산텔레콤,500,430,14577,2.46,323687,7.45,10.87,671,668,321,40,18.8,236.5,671,668,321,40.0,18.8,236.5,2020-08-04,0.4805389221556886
178,다우기술,500,9669,44867,23.3,240095,7.5,14.62,32455,241714,215072,5075,38.28,56.62,32455,241714,215072,5075.0,38.28,56.62,2020-08-04,0.8897788295258032
661,미원화학,1000,1133,2199,5.4,2907,7.52,14.07,1547,1191,169,155,5.63,79.12,1547,1191,169,155.0,5.63,79.12,2020-08-04,0.1418975650713686
53,현대글로비스,500,42000,37500,33.94,120507,7.54,11.25,182701,101297,54595,8765,8.33,23.43,182701,101297,54595,8765.0,8.33,23.43,2020-08-04,0.538959692784584
2519,한일네트웍스,500,561,11954,2.83,116277,7.57,10.85,1216,1249,575,87,-3.92,46.93,1216,1249,575,87.0,-3.92,46.93,2020-08-04,0.46036829463570855
1695,테라젠이텍스,500,3522,32166,4.66,1240379,7.58,40.27,1381,2415,962,37,17.54,194.43,1381,2415,962,37.0,17.54,194.43,2020-08-04,0.39834368530020703
1580,엠씨넥스,500,6985,17863,14.57,852871,7.67,47.71,12677,4766,2520,1131,81.89,175.02,12677,4766,2520,1131.0,81.89,175.02,2020-08-04,0.5287452790600083
2230,삼양옵틱스,500,925,10090,1.06,35194,7.69,35.97,636,495,102,157,5.18,11.21,636,495,102,157.0,5.18,11.21,2020-08-04,0.20606060606060606
2316,태양,500,784,8600,4.26,6544,7.74,4.75,1418,1877,291,70,3.74,592.33,1418,1877,291,70.0,3.74,592.33,2020-08-04,0.15503462972828982
1809,슈프리마,500,2298,7193,9.08,84901,7.87,21.18,721,1486,122,246,36.72,101.59,721,1486,122,246.0,36.72,101.59,2020-08-04,0.08209959623149395
1854,GST,500,2022,9318,14.21,430208,7.93,19.83,1682,1368,334,219,29.56,110.54,1682,1368,334,219.0,29.56,110.54,2020-08-04,0.24415204678362573
2280,스페코,500,843,14655,3.97,625811,7.99,28.18,747,878,461,66,40.46,334.41,747,878,461,66.0,40.46,334.41,2020-08-04,0.5250569476082004
95,CJ,5000,24450,29177,18.45,86342,8.05,6.24,337797,403814,257663,15092,14.42,13.26,337797,403814,257663,15092.0,14.42,13.26,2020-08-04,0.6380734694686168
122,포스코인터내셔널,5000,17026,123375,16.37,201956,8.08,7.06,244226,89594,59114,6053,-2.99,28.08,244226,89594,59114,6053.0,-2.99,28.08,2020-08-04,0.6597986472308414
2336,코프라,500,764,21116,3.28,214220,8.13,8.5,1829,1564,473,91,13.34,44.41,1829,1564,473,91.0,13.34,44.41,2020-08-04,0.3024296675191816
87,NH투자증권,5000,25664,281409,13.18,3255937,8.14,9.12,115035,500751,446830,5754,24.48,6.53,115035,500751,446830,5754.0,24.48,6.53,2020-08-04,0.8923197357568932
719,현대코퍼레이션홀딩스,5000,933,9101,2.94,54798,8.16,5.93,1839,2414,619,93,11.19,17.58,1839,2414,619,93.0,11.19,17.58,2020-08-04,0.25642087821043913
147,한전KPS,200,13252,45000,15.82,98511,8.25,14.98,12469,13594,2960,1939,0.36,1.26,12469,13594,2960,1939.0,0.36,1.26,2020-08-04,0.21774312196557305
835,삼정펄프,5000,659,2500,3.66,796,8.27,2.56,1471,2063,217,67,8.44,256.16,1471,2063,217,67.0,8.44,256.16,2020-08-04,0.10518662142510907
2158,대양전기공업,500,1062,9567,3.14,18094,8.28,6.19,1769,2604,524,149,43.91,56.54,1769,2604,524,149.0,43.91,56.54,2020-08-04,0.2012288786482335
1562,제이앤티씨,500,8099,57848,0.84,808226,8.28,35.27,3862,4436,1513,955,68.36,274.46,3862,4436,1513,955.0,68.36,274.46,2020-08-04,0.34107303877366996
2104,영풍정밀,500,1161,15750,4.79,127217,8.33,4.42,750,3350,506,101,13.77,10.98,750,3350,506,101.0,13.77,10.98,2020-08-04,0.15104477611940298
195,동아에스티,5000,8148,8444,26.32,59646,8.38,11.58,6123,10088,3629,566,7.91,43.43,6123,10088,3629,566.0,7.91,43.43,2020-08-04,0.35973433782712133
691,우성사료,500,1032,30900,2.23,515851,8.41,7.17,3408,3359,1627,-36,17.8,13.53,3408,3359,1627,-36.0,17.8,13.53,2020-08-04,0.4843703483179518
1764,파워로직스,500,2599,34421,4.91,539157,8.42,26.19,11079,4114,1710,506,46.96,92.91,11079,4114,1710,506.0,46.96,92.91,2020-08-04,0.41565386485172584
1094,모두투어리츠,5000,225,7827,0.01,9160,8.43,6.36,76,1088,650,47,58.57,105.8,76,1088,650,47.0,58.57,105.8,2020-08-04,0.5974264705882353
693,일진전기,1000,1020,37080,1.54,182374,8.44,1.19,6683,7808,4771,114,-8.63,118.33,6683,7808,4771,114.0,-8.63,118.33,2020-08-04,0.6110399590163934
374,송원산업,500,3132,24000,18.95,131525,8.45,8.24,8143,8943,4587,593,3.25,9.24,8143,8943,4587,593.0,3.25,9.24,2020-08-04,0.5129151291512916
2523,엠벤처투자,500,559,60142,0.55,372225,8.45,24.26,152,504,120,94,57.15,294.14,152,504,120,94.0,57.15,294.14,2020-08-04,0.23809523809523808
341,농심홀딩스,5000,3766,4638,3.43,3124,8.46,4.03,5367,12165,2944,413,-1.21,0.37,5367,12165,2944,413.0,-1.21,0.37,2020-08-04,0.24200575421290588
219,S&T모티브,5000,7217,14623,23.55,157728,8.48,0.33,9763,10389,3029,892,6.24,53.36,9763,10389,3029,892.0,6.24,53.36,2020-08-04,0.29155837905476945
347,한일시멘트,5000,3623,4145,3.87,11626,8.5,4.62,9462,13836,4965,590,84.81,5.04,9462,13836,4965,590.0,84.81,5.04,2020-08-04,0.358846487424111
487,KSS해운,500,1992,23186,7.61,39160,8.51,8.79,2312,9467,6678,529,14.19,12.36,2312,9467,6678,529.0,14.19,12.36,2020-08-04,0.7053976972641809
1652,한국아트라스비엑스,1000,4168,9150,2.76,1538,8.52,15.6,6480,4803,1132,646,-0.66,0.57,6480,4803,1132,646.0,-0.66,0.57,2020-08-04,0.2356860295648553
114,휠라홀딩스,1000,19623,60752,41.98,267521,8.57,23.81,34504,37702,19693,4707,16.78,31.8,34504,37702,19693,4707.0,16.78,31.8,2020-08-04,0.5223330327303591
391,코리아오토글라스,5000,2900,20000,5.1,24087,8.61,9.36,4560,4979,1370,575,3.95,15.6,4560,4979,1370,575.0,3.95,15.6,2020-08-04,0.2751556537457321
1914,진성티이씨,500,1794,22482,1.97,386389,8.63,16.91,3556,2755,1359,299,0.25,6.96,3556,2755,1359,299.0,0.25,6.96,2020-08-04,0.49328493647912885
1606,매일유업,500,5836,7844,18.05,27435,8.66,17.14,13933,6752,2716,853,7.13,14.69,13933,6752,2716,853.0,7.13,14.69,2020-08-04,0.4022511848341232
2452,오리엔탈정공,500,620,45574,0.97,466387,8.66,15.92,1301,1564,1250,53,67.93,466.85,1301,1564,1250,53.0,67.93,466.85,2020-08-04,0.7992327365728901
627,NPC,500,1263,36720,2.09,14330,8.71,5.29,4545,4038,1196,198,9.54,33.01,4545,4038,1196,198.0,9.54,33.01,2020-08-04,0.29618623080733036
324,부산가스,5000,3998,11000,3.55,2601,8.72,7.57,9728,10367,3670,435,2.2,5.5,9728,10367,3670,435.0,2.2,5.5,2020-08-04,0.35400790971351404
